"peak_id","gene_short_name","distance"
"chr1_11788258_11788616","A830018L16Rik",0
"chr1_11983609_11983895","A830018L16Rik",7707
"chr1_12692288_12692533","Sulf1",0
"chr1_12718103_12718684","Sulf1",0
"chr1_12729439_12729652","Sulf1",0
"chr1_12734260_12734590","Sulf1",0
"chr1_12835542_12836345","Sulf1",0
"chr1_12836509_12836731","Sulf1",0
"chr1_12836848_12837049","Sulf1",0
"chr1_12858285_12858985","Sulf1",0
"chr1_12863905_12864390","Slco5a1",2158
"chr1_12864927_12865602","Slco5a1",946
"chr1_12871988_12872230","Slco5a1",0
"chr1_12875162_12875833","Slco5a1",0
"chr1_12877286_12878072","Slco5a1",0
"chr1_12948088_12948423","Slco5a1",0
"chr1_12990189_12992871","Slco5a1",0
"chr1_12998757_12999005","Slco5a1",6106
"chr1_13103642_13104232","Prdm14",9224
"chr1_13118707_13119005","Prdm14",0
"chr1_13119839_13120314","Prdm14",0
"chr1_13126790_13127190","Prdm14",0
"chr1_13127970_13128679","Prdm14",806
"chr1_13134346_13134621","Ncoa2",4483
"chr1_13146548_13147449","Ncoa2",0
"chr1_13151124_13151377","Ncoa2",0
"chr1_13160906_13161134","Ncoa2",0
"chr1_13161449_13161654","Ncoa2",0
"chr1_13171082_13171675","Ncoa2",0
"chr1_13187795_13188766","Ncoa2",0
"chr1_13195577_13195867","Ncoa2",0
"chr1_13196053_13196652","Ncoa2",0
"chr1_13196793_13197395","Ncoa2",0
"chr1_13214022_13214373","Ncoa2",0
"chr1_13214509_13215081","Ncoa2",0
"chr1_13241000_13241656","Ncoa2",0
"chr1_13243833_13244132","Ncoa2",0
"chr1_13244431_13244927","Ncoa2",0
"chr1_13245762_13245995","Ncoa2",0
"chr1_13266307_13267429","Ncoa2",0
"chr1_13277892_13278597","Ncoa2",0
"chr1_13292950_13293739","Ncoa2",0
"chr1_13294571_13295283","Ncoa2",0
"chr1_13301520_13301921","Ncoa2",0
"chr1_13308080_13309256","Ncoa2",0
"chr1_13321911_13322110","Ncoa2",0
"chr1_13332346_13332936","Ncoa2",0
"chr1_13333662_13333991","Ncoa2",0
"chr1_13335711_13336051","Ncoa2",0
"chr1_13345188_13345553","Ncoa2",0
"chr1_13360653_13361192","Ncoa2",0
"chr1_13363399_13363994","Ncoa2",0
"chr1_13364407_13364713","Ncoa2",0
"chr1_13372024_13374634","Ncoa2",0
"chr1_13561325_13562006","Tram1",2691
"chr1_13563167_13563809","Tram1",888
"chr1_13583092_13583331","Tram1",0
"chr1_13583483_13583879","Tram1",0
"chr1_13588861_13590192","Tram1",0
"chr1_13598906_13599618","Tram1",8995
"chr1_13615881_13616214","Lactb2",7115
"chr1_13631102_13632062","Lactb2",0
"chr1_13639129_13639970","Lactb2",0
"chr1_13642911_13643470","Lactb2",0
"chr1_13649612_13650276","Lactb2",0
"chr1_13655441_13655828","Lactb2",0
"chr1_13659499_13660950","Lactb2",0
"chr1_13668545_13669118","Xkr9",0
"chr1_13669587_13669842","Xkr9",0
"chr1_13677669_13677958","Xkr9",0
"chr1_13682946_13683353","Xkr9",0
"chr1_13706351_13706617","Xkr9",4627
"chr1_14173733_14174046","Eya1",0
"chr1_14181245_14182192","Eya1",0
"chr1_14189534_14189744","Eya1",0
"chr1_14220035_14220670","Eya1",0
"chr1_14223078_14223774","Eya1",0
"chr1_14232855_14233109","Eya1",0
"chr1_14273929_14274148","Eya1",0
"chr1_14292162_14292681","Eya1",0
"chr1_14294742_14295053","Eya1",0
"chr1_14304267_14304947","Eya1",0
"chr1_14309476_14310651","Eya1",0
"chr1_14755174_14755647","Msc",0
"chr1_15286081_15287596","Kcnb2",0
"chr1_15294310_15294564","Kcnb2",0
"chr1_15296557_15297304","Kcnb2",0
"chr1_15301410_15301699","Kcnb2",0
"chr1_15302299_15302532","Kcnb2",0
"chr1_15307420_15307747","Kcnb2",0
"chr1_15308595_15309048","Kcnb2",0
"chr1_15446357_15447192","Kcnb2",0
"chr1_15451536_15452198","Kcnb2",0
"chr1_15453885_15454718","Kcnb2",0
"chr1_15455899_15456405","Kcnb2",0
"chr1_15538998_15539384","Kcnb2",0
"chr1_15544165_15544738","Kcnb2",0
"chr1_15563694_15564354","Kcnb2",0
"chr1_15582138_15582635","Kcnb2",0
"chr1_15610246_15610755","Kcnb2",0
"chr1_15621779_15622153","Kcnb2",0
"chr1_15651718_15652130","Kcnb2",0
"chr1_15652352_15652635","Kcnb2",0
"chr1_15800112_15800324","Terf1",5321
"chr1_15805003_15806451","Terf1",0
"chr1_15814934_15815231","Terf1",0
"chr1_15816821_15817474","Terf1",0
"chr1_15892190_15892938","Sbspon",0
"chr1_15902461_15902739","Sbspon",9738
"chr1_16092632_16093520","4930444P10Rik",0
"chr1_16103725_16106319","Rpl7",0
"chr1_16110704_16111039","Rdh10",0
"chr1_16111583_16112026","Rdh10",0
"chr1_16129974_16130394","Rdh10",0
"chr1_16135739_16136080","Rdh10",2004
"chr1_16227742_16228829","Stau2",0
"chr1_16229463_16229781","Stau2",0
"chr1_16234651_16235362","Stau2",0
"chr1_16235773_16236046","Stau2",0
"chr1_16236805_16237065","Stau2",0
"chr1_16240740_16241477","Stau2",0
"chr1_16242655_16242977","Stau2",0
"chr1_16253854_16254170","Stau2",0
"chr1_16260597_16260835","Stau2",0
"chr1_16261953_16262435","Stau2",0
"chr1_16264260_16264487","Stau2",0
"chr1_16264935_16265169","Stau2",0
"chr1_16297521_16298028","Stau2",0
"chr1_16304903_16305158","Stau2",0
"chr1_16402600_16402945","Stau2",0
"chr1_16408298_16408852","Stau2",0
"chr1_16412085_16412728","Stau2",0
"chr1_16433460_16433684","Stau2",0
"chr1_16440005_16440497","Stau2",0
"chr1_16461511_16462121","Stau2",0
"chr1_16482616_16483390","Stau2",0
"chr1_16484455_16484672","Stau2",0
"chr1_16518471_16520105","Stau2",0
"chr1_16520989_16521230","Stau2",876
"chr1_16546482_16547415","Ube2w",0
"chr1_16603831_16604030","Ube2w",0
"chr1_16606665_16607012","Ube2w",0
"chr1_16618280_16619768","Ube2w",0
"chr1_16656229_16657648","Tceb1",0
"chr1_16663283_16663499","D030040B21Rik",1004
"chr1_16663850_16664222","Tmem70",984
"chr1_16664857_16665838","Tmem70",0
"chr1_16687842_16689113","Ly96",0
"chr1_16696466_16696759","Ly96",0
"chr1_17015559_17015814","Jph1",0
"chr1_17041254_17042696","Jph1",0
"chr1_17043015_17043361","Jph1",0
"chr1_17059658_17060467","Jph1",0
"chr1_17082535_17082832","Jph1",0
"chr1_17096614_17098531","Jph1",0
"chr1_17119728_17120241","Gm28783",4505
"chr1_17123065_17123768","Gm28783",978
"chr1_17145086_17145881","Gdap1",0
"chr1_17163562_17163798","Gdap1",0
"chr1_17164445_17164714","Gdap1",173
"chr1_19205639_19205893","Tfap2b",3020
"chr1_19209737_19210484","Tfap2b",0
"chr1_19214193_19214441","Tfap2b",0
"chr1_19236650_19236849","Tfap2b",0
"chr1_19241335_19241690","Gm28340",1034
"chr1_20058133_20058637","Pkhd1",0
"chr1_20069631_20070016","Pkhd1",0
"chr1_20117262_20117483","Pkhd1",0
"chr1_20132041_20132412","Pkhd1",0
"chr1_20398062_20398682","Pkhd1",0
"chr1_20440639_20441015","Pkhd1",0
"chr1_20450172_20450375","Pkhd1",0
"chr1_20470756_20471041","Pkhd1",0
"chr1_20477428_20478323","Pkhd1",0
"chr1_20554310_20554662","Pkhd1",0
"chr1_20571299_20571849","Pkhd1",0
"chr1_20612751_20612965","Pkhd1",0
"chr1_20617597_20618410","Pkhd1",0
"chr1_20619219_20619655","Pkhd1",1154
"chr1_20786789_20787495","Il17f",0
"chr1_20819581_20820593","Mcm3",0
"chr1_20834769_20835145","Gm28065",1515
"chr1_20836488_20837059","Gm28065",0
"chr1_20845745_20846982","Gm28065",6055
"chr1_20879037_20879701","6720483E21Rik",8948
"chr1_20890023_20891470","Paqr8",0
"chr1_20910872_20911696","Paqr8",0
"chr1_20912375_20913006","Paqr8",0
"chr1_20922862_20923410","Paqr8",0
"chr1_20933256_20933799","Paqr8",0
"chr1_20938924_20939337","Paqr8",0
"chr1_20939787_20940634","Paqr8",136
"chr1_20950914_20952156","Efhc1",0
"chr1_20958335_20958677","Efhc1",0
"chr1_20995305_20995862","Tram2",436
"chr1_20997151_20997511","Tram2",0
"chr1_20999390_20999621","Tram2",0
"chr1_21002191_21003188","Tram2",0
"chr1_21008636_21009227","Tram2",0
"chr1_21010200_21010576","Tram2",0
"chr1_21014070_21015013","Tram2",0
"chr1_21036850_21037582","Tram2",0
"chr1_21051870_21053055","Tram2",0
"chr1_21068212_21069059","Tram2",0
"chr1_21078430_21079778","Tram2",0
"chr1_21086215_21086662","Tram2",6985
"chr1_21218277_21218985","Tmem14a",0
"chr1_21220727_21221585","Tmem14a",0
"chr1_21228773_21229671","Tmem14a",0
"chr1_21231702_21232385","Tmem14a",1534
"chr1_21240204_21240721","Gsta3",0
"chr1_21246109_21246619","Gsta3",0
"chr1_21252344_21252885","Gsta3",0
"chr1_21253046_21253249","Gsta3",0
"chr1_21271106_21272350","Gsta3",5444
"chr1_21344366_21344592","Khdc1a",5048
"chr1_21411219_21411538","Kcnq5",0
"chr1_21419431_21419646","Kcnq5",0
"chr1_21448236_21448534","Kcnq5",0
"chr1_21449877_21450310","Kcnq5",0
"chr1_21453020_21453396","Kcnq5",0
"chr1_21458369_21459168","Kcnq5",0
"chr1_21461154_21461355","Kcnq5",0
"chr1_21470720_21471093","Kcnq5",0
"chr1_21485830_21486963","Kcnq5",0
"chr1_21487080_21487464","Kcnq5",0
"chr1_21499542_21500369","Kcnq5",0
"chr1_21500597_21500807","Kcnq5",0
"chr1_21520270_21520834","Kcnq5",0
"chr1_21531730_21531931","Kcnq5",0
"chr1_21563394_21563614","Kcnq5",0
"chr1_21602451_21602803","Kcnq5",0
"chr1_21613143_21613426","Kcnq5",0
"chr1_21613661_21614292","Kcnq5",0
"chr1_21616392_21617552","Kcnq5",0
"chr1_21622933_21623340","Kcnq5",0
"chr1_21634053_21634292","Kcnq5",0
"chr1_21643566_21644145","Kcnq5",0
"chr1_21666916_21667569","Kcnq5",0
"chr1_21667759_21668224","Kcnq5",0
"chr1_21684628_21684943","Kcnq5",0
"chr1_21689875_21690948","Kcnq5",0
"chr1_21694635_21694865","Kcnq5",0
"chr1_21728997_21729448","Kcnq5",0
"chr1_21733258_21733676","Kcnq5",0
"chr1_21745094_21745498","Kcnq5",0
"chr1_21745652_21746225","Kcnq5",0
"chr1_21751584_21752215","Kcnq5",0
"chr1_21800985_21801227","Kcnq5",0
"chr1_21804530_21804798","Kcnq5",0
"chr1_21804918_21805385","Kcnq5",0
"chr1_21829546_21830624","Kcnq5",0
"chr1_21837358_21837879","Kcnq5",0
"chr1_21838423_21838981","Kcnq5",0
"chr1_21889630_21890032","Kcnq5",0
"chr1_21944430_21945149","Kcnq5",0
"chr1_21946222_21946745","Kcnq5",0
"chr1_21947000_21947226","Kcnq5",0
"chr1_21960142_21962414","Kcnq5",0
"chr1_21962995_21963384","Gm26580",464
"chr1_22294193_22294646","Rims1",0
"chr1_22421862_22422362","Rims1",0
"chr1_22466596_22466980","Rims1",0
"chr1_22487152_22487558","Rims1",0
"chr1_22500685_22500985","Rims1",0
"chr1_22533052_22534005","Rims1",0
"chr1_22587794_22588360","Rims1",0
"chr1_22608187_22609109","Rims1",0
"chr1_22615223_22615454","Rims1",0
"chr1_22615591_22615959","Rims1",0
"chr1_22645012_22645622","Rims1",0
"chr1_22646599_22646801","Rims1",0
"chr1_22653497_22654217","Rims1",0
"chr1_22685095_22685419","Rims1",0
"chr1_22702808_22703678","Rims1",0
"chr1_22712694_22713220","Rims1",0
"chr1_22743182_22743423","Rims1",0
"chr1_22783461_22783714","Rims1",0
"chr1_22799795_22800654","Rims1",0
"chr1_22805171_22806451","Rims1",0
"chr1_23099850_23100262","4933415F23Rik",210
"chr1_23284442_23284677","Gm27028",6859
"chr1_23286550_23287077","Gm27028",4459
"chr1_23361174_23361664","Ogfrl1",4759
"chr1_23365691_23366066","Ogfrl1",357
"chr1_23379466_23379869","Ogfrl1",0
"chr1_23382505_23383664","Ogfrl1",0
"chr1_23389722_23390118","Ogfrl1",0
"chr1_23396519_23396718","Ogfrl1",0
"chr1_23398976_23399912","Ogfrl1",1203
"chr1_23400696_23400982","Ogfrl1",2923
"chr1_23761527_23764030","B3gat2",0
"chr1_23769887_23770396","B3gat2",0
"chr1_23770797_23771032","B3gat2",0
"chr1_23772120_23772906","B3gat2",0
"chr1_23773042_23773323","B3gat2",0
"chr1_23792792_23793105","B3gat2",0
"chr1_23796679_23797131","B3gat2",0
"chr1_23798268_23798597","B3gat2",0
"chr1_23826922_23827646","B3gat2",0
"chr1_23892120_23892375","Smap1",0
"chr1_23897071_23897316","Smap1",0
"chr1_23899092_23899888","Smap1",0
"chr1_23921365_23922591","Smap1",0
"chr1_23930975_23931457","Smap1",8657
"chr1_24005058_24005858","1110058L19Rik",0
"chr1_24007596_24007925","1110058L19Rik",1939
"chr1_24020856_24021433","Fam135a",0
"chr1_24089846_24090154","Fam135a",0
"chr1_24094456_24094796","Fam135a",0
"chr1_24099507_24100722","Fam135a",0
"chr1_24102313_24102855","Fam135a",1971
"chr1_24107332_24108578","Fam135a",6990
"chr1_24171507_24171777","Col9a1",5832
"chr1_24186765_24187312","Col9a1",0
"chr1_24218900_24219341","Col9a1",0
"chr1_24227328_24227542","Col9a1",0
"chr1_24230410_24230910","Col9a1",0
"chr1_24248865_24249404","Col9a1",0
"chr1_24285799_24286656","Col19a1",0
"chr1_24302709_24302986","Col19a1",0
"chr1_24309839_24310150","Col19a1",0
"chr1_24335900_24336348","Col19a1",0
"chr1_24378476_24378718","Col19a1",0
"chr1_24437234_24437826","Col19a1",0
"chr1_24443678_24444307","Col19a1",0
"chr1_24469498_24469788","Col19a1",0
"chr1_24491801_24492022","Col19a1",0
"chr1_24514219_24514557","Col19a1",0
"chr1_24586480_24586742","Col19a1",0
"chr1_24587314_24587513","Col19a1",0
"chr1_24677639_24679571","Lmbrd1",0
"chr1_24686696_24686895","Lmbrd1",0
"chr1_24693255_24693871","Lmbrd1",0
"chr1_24699166_24699722","Lmbrd1",0
"chr1_24704486_24704961","Lmbrd1",0
"chr1_24714418_24714995","Lmbrd1",0
"chr1_24732004_24732386","Lmbrd1",0
"chr1_24742755_24743800","Lmbrd1",0
"chr1_24751057_24751591","Lmbrd1",0
"chr1_25033539_25034401","Gm29414",6306
"chr1_25057323_25058143","Bai3",9332
"chr1_25063620_25064550","Bai3",2925
"chr1_25110536_25111113","Bai3",0
"chr1_25137548_25137958","Bai3",0
"chr1_25171672_25171987","Bai3",0
"chr1_25175516_25175755","Bai3",0
"chr1_25228233_25229177","Bai3",0
"chr1_25281476_25281727","Bai3",0
"chr1_25293815_25294075","Bai3",0
"chr1_25325275_25325589","Bai3",0
"chr1_25371571_25371823","Bai3",0
"chr1_25585540_25586035","Bai3",0
"chr1_25829616_25830742","Bai3",0
"chr1_26685986_26686250","4931408C20Rik",0
"chr1_26686960_26687716","4931408C20Rik",0
"chr1_30718107_30719082","Gm9898",0
"chr1_30720327_30720658","Gm9898",364
"chr1_30792734_30793358","Phf3",8980
"chr1_30793501_30793722","Phf3",8616
"chr1_30794585_30794809","Phf3",7529
"chr1_30808141_30808723","Phf3",0
"chr1_30824811_30825046","Phf3",0
"chr1_30838368_30839025","Phf3",0
"chr1_30839645_30840129","Phf3",0
"chr1_30845050_30845408","Phf3",0
"chr1_30847085_30847555","Phf3",0
"chr1_30851789_30852172","Phf3",0
"chr1_30872731_30874145","Phf3",0
"chr1_30874597_30874796","Phf3",675
"chr1_30948443_30950397","Ptp4a1",0
"chr1_31015169_31015570","Gm29669",3617
"chr1_31017465_31017742","Gm29669",1445
"chr1_31019136_31019791","Gm29669",0
"chr1_31023186_31023425","Gm29669",0
"chr1_31033557_31034340","Gm29669",0
"chr1_31040746_31041186","Gm29669",0
"chr1_31050055_31050693","Gm29669",0
"chr1_31050878_31051738","Gm29669",0
"chr1_31091706_31092205","Gm29669",0
"chr1_31093748_31094372","Gm29669",0
"chr1_31094597_31095239","Gm29669",0
"chr1_31102439_31103644","Gm29669",5984
"chr1_31117073_31117329","Gm27362",5395
"chr1_31133566_31134235","4931428L18Rik",990
"chr1_31143416_31143861","4931428L18Rik",0
"chr1_31147735_31147948","4931428L18Rik",0
"chr1_31149555_31150498","4931428L18Rik",0
"chr1_31150652_31150852","4931428L18Rik",0
"chr1_31153798_31154265","4931428L18Rik",0
"chr1_31156961_31157214","4931428L18Rik",0
"chr1_32172147_32173119","Khdrbs2",0
"chr1_32265896_32266184","Khdrbs2",0
"chr1_32271907_32272345","Khdrbs2",0
"chr1_32286658_32287117","Khdrbs2",0
"chr1_32393280_32393690","Khdrbs2",0
"chr1_32429290_32429928","Khdrbs2",0
"chr1_32443909_32444134","Khdrbs2",0
"chr1_32476706_32477019","Khdrbs2",0
"chr1_32498125_32498416","Khdrbs2",0
"chr1_32498555_32498848","Khdrbs2",0
"chr1_33214329_33214671","RP23-154N2.3",0
"chr1_33453896_33454895","Prim2",0
"chr1_33466576_33467262","Prim2",0
"chr1_33474276_33474489","Prim2",0
"chr1_33480253_33480790","Prim2",0
"chr1_33483424_33484665","Prim2",0
"chr1_33489575_33490480","Prim2",0
"chr1_33499614_33500509","Prim2",0
"chr1_33501339_33501553","Prim2",0
"chr1_33531461_33532222","Prim2",0
"chr1_33533332_33533565","Prim2",0
"chr1_33583703_33584683","Prim2",0
"chr1_33591706_33592523","Prim2",0
"chr1_33616254_33616500","Prim2",0
"chr1_33617685_33617973","Prim2",0
"chr1_33645656_33645972","Prim2",0
"chr1_33657366_33658557","Prim2",0
"chr1_33668538_33668767","Prim2",0
"chr1_33669282_33670623","Prim2",0
"chr1_33710505_33710953","Rab23",8933
"chr1_33714472_33714708","Rab23",5178
"chr1_33714814_33715104","Rab23",4782
"chr1_33719407_33720520","Rab23",0
"chr1_33721077_33721379","Rab23",0
"chr1_33732704_33733508","Rab23",0
"chr1_33734009_33734240","Rab23",0
"chr1_33738647_33739621","Rab23",0
"chr1_33742852_33743140","Rab23",287
"chr1_33756912_33758159","Bag2",0
"chr1_33758547_33758781","Bag2",751
"chr1_33763879_33764123","Zfp451",0
"chr1_33766964_33767386","Zfp451",0
"chr1_33812956_33814763","Zfp451",0
"chr1_33868302_33868511","Bend6",0
"chr1_33883351_33883688","Bend6",0
"chr1_33892825_33893036","Bend6",0
"chr1_33906921_33908356","Dst",0
"chr1_33925261_33925628","Dst",0
"chr1_33926520_33926825","Dst",0
"chr1_33926995_33927606","Dst",0
"chr1_33944990_33945279","Dst",0
"chr1_33947748_33948193","Dst",0
"chr1_33964308_33964510","Dst",0
"chr1_33964667_33964943","Dst",0
"chr1_33966400_33966675","Dst",0
"chr1_33967229_33967549","Dst",0
"chr1_33989462_33990268","Dst",0
"chr1_33993904_33994534","Dst",0
"chr1_34005307_34006783","Dst",0
"chr1_34010808_34012039","Dst",0
"chr1_34016608_34017143","Dst",0
"chr1_34023304_34023898","Dst",0
"chr1_34044577_34044874","Dst",0
"chr1_34051222_34051509","Dst",0
"chr1_34053717_34054225","Dst",0
"chr1_34060396_34061491","Dst",0
"chr1_34067660_34067871","Dst",0
"chr1_34068392_34068591","Dst",0
"chr1_34073865_34074172","Dst",0
"chr1_34076770_34077628","Dst",0
"chr1_34103394_34104068","Dst",0
"chr1_34109504_34110118","Dst",0
"chr1_34120587_34120938","Dst",0
"chr1_34121057_34121606","Dst",0
"chr1_34122889_34123662","Dst",0
"chr1_34133082_34133712","Dst",0
"chr1_34139710_34140598","Dst",0
"chr1_34144798_34145181","Dst",0
"chr1_34164372_34165015","Dst",0
"chr1_34177964_34178212","Dst",0
"chr1_34184336_34184568","Dst",0
"chr1_34186030_34186331","Dst",0
"chr1_34190019_34190259","Dst",0
"chr1_34201500_34201770","Dst",0
"chr1_34216226_34216683","Dst",0
"chr1_34218167_34218677","Dst",0
"chr1_34223531_34225110","Dst",0
"chr1_34225296_34225869","Dst",0
"chr1_34236140_34236782","Dst",0
"chr1_34237142_34238144","Dst",0
"chr1_34251199_34251467","Dst",0
"chr1_34251762_34253335","Dst",0
"chr1_34253838_34254269","Dst",0
"chr1_34290294_34290534","Dst",0
"chr1_34298638_34298975","Dst",0
"chr1_34299252_34300966","Dst",0
"chr1_34310533_34311159","Dst",1871
"chr1_34315313_34315791","Dst",6651
"chr1_34326560_34327497","RP24-152H15.5",1935
"chr1_34432872_34433425","mmu-mir-5103",0
"chr1_34433583_34435170","mmu-mir-5103",318
"chr1_34438894_34440227","Imp4",0
"chr1_34459102_34460429","Ptpn18",0
"chr1_34462645_34463122","Ptpn18",0
"chr1_34471968_34473382","Ptpn18",0
"chr1_34481863_34482110","4930568A12Rik",0
"chr1_34485327_34486193","4930568A12Rik",0
"chr1_34504961_34505628","Prss39",1897
"chr1_34510194_34511318","Prss39",7130
"chr1_34511929_34512635","Prss39",8865
"chr1_34536426_34537818","Cfc1",0
"chr1_34578610_34580373","Amer3",0
"chr1_34583728_34584266","Amer3",0
"chr1_34677524_34679047","Arhgef4",0
