dataset,gene,r2,n_cells,residual_vs_stress_pearson_r,residual_vs_stress_p,highest_residual_group,highest_residual_group_mean,lowest_residual_group,lowest_residual_group_mean,biology_note
organoid_shRORB1,NFKB1,-0.7358017251253812,6193,0.01748661155286198,0.1688380168390421,Stress,0.7826252369836932,Neuroendocrine1,0.42992461017767103,
organoid_shRORB1,NFIB,-0.6548968313325114,6193,-0.017853272045059848,0.16007998881288388,Intermediate,0.6646106754698196,Stress,0.36690833452576593,Metastasis-associated TF; regulation may differ outside the in-vivo metastatic niche.
organoid_shRORB1,EHF,-0.5506008444626942,6193,-0.0760280313903069,2.091499174979727e-09,Neuroendocrine2,0.5654752095067753,Generalist nonNE,0.26146216037735853,"Epithelial ETS-family TF, ECM/substrate-context sensitive like GRHL2."
organoid_shRORB1,SMAD3,-0.4927823295530891,6193,-0.1597730255783214,1.0871040267970914e-36,Generalist NE,0.44895816191118637,Generalist nonNE,0.0030018138322368704,
organoid_shRORB1,EPCAM,-0.4824516738674258,6193,0.0716391532989378,1.6633585110939388e-08,Neuroendocrine2,0.5705091925939074,nonNE1,0.324557,"Epithelial-adhesion marker, same culture/attachment-context sensitivity as NCAM1/ICAM1."
organoid_shRORB1,THRB,-0.4417534188513154,6193,0.11560941893512927,7.059689286410793e-20,nonNE1,0.7031890000000001,Generalist nonNE,0.1384761426277996,"Thyroid hormone receptor; hormone/media-composition sensitive, a plausible culture-condition confound."
organoid_shRORB1,ASCL1,-0.4297073073367126,6193,0.17984368823509952,3.537971052602495e-46,Stress,0.7737848481743406,nonNE1,0.037109,"Core NE-lineage TF; not itself an obvious stress/adhesion story, included as it validates poorly anyway."
organoid_shRORB1,ETS1,-0.3816394512129517,6193,-0.01989274925311958,0.11750999799821972,nonNE1,0.773922304341065,Stress,0.37489460024907256,"Stress/signaling-responsive TF, downstream of MAPK signaling that is culture-condition sensitive."
organoid_shRORB1,GRHL2,-0.3637534083511669,6193,0.08237301769752284,8.463587535263305e-11,nonNE1,0.618052,Generalist NE,0.40448567152908405,"Epithelial-identity TF, sensitive to ECM/substrate and epithelial-mesenchymal balance shifts in culture."
organoid_shRORB1,SIX1,-0.3635007873837623,6193,-0.040728962559362376,0.0013465294439189883,Generalist nonNE,0.9502817693818626,nonNE1,0.024813,
organoid_shRORB2,NFIB,-1.1966204758017684,10101,0.06614231871619214,2.8520549249290377e-11,Generalist nonNE,0.8509614243071804,Neuroendocrine2,0.3957810652123369,Metastasis-associated TF; regulation may differ outside the in-vivo metastatic niche.
organoid_shRORB2,HES1,-1.1808905095312134,10101,0.0036021316174393355,0.7173639579808633,Stress,0.6204991356833122,nonNE1,0.18449880000000002,"Notch-pathway TF; Notch signaling is contact/density dependent, differs in organoid vs. in-vivo geometry."
organoid_shRORB2,EHF,-0.9492778030695896,10101,0.02948729944408979,0.0030380519327949233,Stress,0.6352803989406297,nonNE1,0.26206300000000005,"Epithelial ETS-family TF, ECM/substrate-context sensitive like GRHL2."
organoid_shRORB2,EPCAM,-0.5837933904235988,10101,0.05635005424012421,1.451559522091638e-08,Neuroendocrine2,0.793441002983401,Generalist NE,0.43480421249648665,"Epithelial-adhesion marker, same culture/attachment-context sensitivity as NCAM1/ICAM1."
organoid_shRORB2,NFIA,-0.5086087343560264,10101,-0.1851087724999494,1.482179348498517e-78,Intermediate,0.57202670664651,Generalist nonNE,0.25313602409385716,
organoid_shRORB2,SMAD3,-0.4934432627885783,10101,-0.04921611796475004,7.467616427153124e-07,Neuroendocrine1,0.469079892654054,Generalist nonNE,0.003202232102387894,
organoid_shRORB2,LMX1B,-0.4551559751170126,10101,-0.023962458163938646,0.01602418699060182,Generalist nonNE,0.5080831384053672,Neuroendocrine2,0.2857981110684474,"Developmental TF; identity-defining, may not be under the same control outside the native tumor."
organoid_shRORB2,NFKB1,-0.3894220008014519,10101,0.11796863920800556,1.2359297680103555e-32,Stress,0.7398561883411928,Neuroendocrine1,0.39072788538542935,
organoid_shRORB2,RUNX1,-0.3599929166831543,10101,-0.04490993054273104,6.3216720418968864e-06,Stress,0.5494279194482526,Generalist nonNE,0.06269854959815578,
organoid_shRORB2,RORA_RORB,-0.3098089910301822,10101,-0.041089802191238874,3.6132710609837973e-05,Stress,0.6214983155421994,Generalist nonNE,0.16765076335877863,
mets_compiled,FOXO3,-0.6421336339487616,5533,0.02472061369960918,0.06596123036687523,2,0.5185289356800352,7,0.36420830673992466,Canonical oxidative/cellular-stress-response TF (FOXO pathway) -- directly stress-sensitive.
mets_compiled,RORA_RORB,-0.603836640241161,5533,0.0617151418081463,4.3489258042867384e-06,2,0.5248592885724411,7,0.3652092030736016,
mets_compiled,GRHL2,-0.5563310807351347,5533,0.026014079290732683,0.05299948888661984,3,0.48721903655773285,5,0.357489895574366,"Epithelial-identity TF, sensitive to ECM/substrate and epithelial-mesenchymal balance shifts in culture."
mets_compiled,ETS1,-0.5423194697322462,5533,0.0175871465163974,0.1908698111633577,2,0.47203918244098736,7,0.3584884152947771,"Stress/signaling-responsive TF, downstream of MAPK signaling that is culture-condition sensitive."
mets_compiled,NCAM1,-0.5041005376483798,5533,-0.024287885176796052,0.07084157322773546,5,0.47600490132298096,7,0.3904524824164363,Cell-adhesion molecule (NCAM); adhesion/ECM context differs sharply organoid/compiled-atlas vs. in-vivo GEMM.
mets_compiled,TBX15,-0.4607787399906404,5533,0.056692603680901205,2.4487589573437953e-05,2,0.5366674682131478,7,0.3011652571667039,Developmental/mesenchymal TF; identity may be less stable outside the native tumor microenvironment.
mets_compiled,KMT2A,-0.4393709270111354,5533,0.01805691190776141,0.17928692195540888,2,0.49552879983864623,7,0.3172902785518636,"Chromatin regulator; broadly expressed, less an obvious stress-biology story than the others here."
mets_compiled,ICAM1,-0.4223288064443637,5533,0.06848404758734898,3.4151967617068825e-07,2,0.53877100665468,7,0.3165971458404662,Cell-adhesion molecule (ICAM); same culture/attachment-context sensitivity as NCAM1.
mets_compiled,NFKB1,-0.393815810435141,5533,-0.02203258796803778,0.10127498737138418,6,0.4392579404954995,7,0.3771924270927148,
mets_compiled,SMAD3,-0.3764862768999397,5533,0.0038518898422740793,0.7745290175261521,2,0.43433755435593585,3,0.37765486997217057,
