Composition of recurrent gene modules.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cycle,Stress,Interferon,Hypoxia,Oxphos,Metal,Mesenchymal,pEMT,Alveolar,Basal,Squamous,Glandular,Ciliated,AC,OPC,NPC
BUB1B,C5orf45,DDX58,MGP,UXT,,,CDKN2A,,SLITRK6,KLK10,KRT23,EFHC1,LPL,,RBFOX2
C12orf75,C8orf4,DDX60,NDRG1,,,,CFL1,,THBS2,KLK11,LCN2,FAM183A,MLC1,,SOX11
C19orf48,CA12,DDX60L,NDUFA4L2,,,,CHI3L1,,TP53AIP1,KRT1,LGALS4,FAM229B,MT1X,,STMN2
C21orf58,CCL20,DYNLT1,NRN1,,,,CLIC1,,TPT1,KRT10,LTF,FOXJ1,NTRK2,,STMN4
CALM2,CCNL1,EIF2AK2,P4HA1,,,,COTL1,,TXNIP,KRT16,LYZ,LRRC23,OLFM2,,SYT1
CALM3,CCP110,EPSTI1,PDK1,,,,CRIP1,,UBA52,KRT2,MAL2,LRRIQ1,PLTP,,TAGLN3
CARHSP1,CD55,ETV7,PFKFB3,,,,CSTB,,UQCRH,KRT6A,MIA,MORN2,PMP22,,TMSB15A
CASC5,CDKN1A,FXYD5,PFKP,,,,CTGF,,VCAN,KRT6B,MMP7,MS4A8,PRLHR,,
CCDC34,CDKN2AIP,GBP1,PGF,,,,CTSB,,VTCN1,KRT6C,MUC1,PIFO,SPARCL1,,
CCNA2,CEBPB,GBP2,PGK1,,,,DKK1,,ZFAND5,KRTDAP,MUC16,PPIL6,SPOCK1,,
CCNB1,CEBPD,GBP3,PLIN2,,,,ECM1,,,LGALS7B,MUC5AC,PSENEN,TBC1D10A,,
CCNB2,CITED2,GBP4,PLOD2,,,,EIF4EBP1,,,LY6D,MUC5B,ROPN1L,VAMP5,,
CCNE1,CLDN3,GBP5,PTHLH,,,,EIF5A,,,LYPD3,NAPSA,RSPH1,,,
CCNE2,CLDN4,GLUL,RGCC,,,,EMP3,,,MALL,NQO1,SPATA18,,,
CCT5,CLK1,HAPLN3,SLC16A1,,,,ENO1,,,P2RY2,OLFM4,TPPP3,,,
CDC20,CSRNP1,HELZ2,SLC16A3,,,,F3,,,PKP1,ONECUT2,UBXN10,,,
CDC25B,CXCL1,HERC5,SLC2A1,,,,FLNA,,,PLA2G4E,PGC,,,,
CDC45,CXCL2,HERC6,SLC2A3,,,,FLNB,,,PRSS3,PHGR1,,,,
CDC6,CXCL3,HLA-A,SLC6A8,,,,FSTL3,,,PVRL4,PIGR,,,,
CDCA2,CXCL5,HLA-B,SNCG,,,,FTL,,,RAB25,PLA2G2A,,,,
CDCA3,CXCL8,HLA-C,SPAG4,,,,G0S2,,,RHOV,PLAC8,,,,
CDCA4,CYP1B1,HLA-DMA,TMEM91,,,,G6PD,,,S100A14,PLAT,,,,
CDCA5,CYR61,HLA-DMB,VEGFA,,,,GAPDH,,,S100A7,PPP1R1B,,,,
CDCA7,DAPP1,HLA-DPA1,,,,,GJB6,,,S100A8,PSCA,,,,
CDCA8,DEPP1,HLA-DPB1,,,,,GLO1,,,S100A9,PTGES,,,,
CDK1,DNAJA1,HLA-DQA1,,,,,GPI,,,SAA2,REG1A,,,,
CDKN3,DNAJA4,HLA-DQA2,,,,,GPX1,,,SBSN,REG4,,,,
CDT1,DNAJB1,HLA-DQB1,,,,,HMGA1,,,SERPINB13,RNASE1,,,,
CENPA,DNAJB4,HLA-DRA,,,,,IGFBP2,,,SERPINB3,S100A4,,,,
CENPE,DSC3,HLA-DRB1,,,,,IGFBP6,,,SERPINB4,S100P,,,,
CENPF,DUSP1,HLA-DRB5,,,,,IGFBP7,,,SLPI,SCD,,,,
CENPH,DUSP10,HLA-E,,,,,INHBA,,,SPINK5,SCGB1D2,,,,
CENPK,DUSP14,HLA-F,,,,,ITGA6,,,SPRR1B,SERPINA1,,,,
CENPM,DUSP2,HSPB8,,,,,ITGB1,,,SPRR2A,SERPINB1,,,,
CENPN,DUSP5,ICAM1,,,,,ITGB6,,,SPRR2D,SFTPD,,,,
CENPU,EDN1,IDO1,,,,,ITGB8,,,SULT2B1,SPINK1,,,,
CENPW,EFNA1,IFI16,,,,,ITM2B,,,THBD,SPINT2,,,,
CEP55,EGR1,IFI27,,,,,KLK6,,,TMEM45A,SQLE,,,,
CHAF1A,EGR2,IFI35,,,,,KRT17,,,TMPRSS4,TCN1,,,,
CHEK1,EGR3,IFI44,,,,,KRT18,,,TUBB2A,TFF1,,,,
CKAP2,EHF,IFI44L,,,,,KRT19,,,ZNF750,TFF2,,,,
CKAP2L,EIF4A2,IFI6,,,,,KRT7,,,,TFF3,,,,
CKAP5,ELF3,IFIH1,,,,,KRT8,,,,TM4SF4,,,,
CKLF,EMP1,IFIT1,,,,,KYNU,,,,TMEM176A,,,,
CKS1B,EPHA2,IFIT2,,,,,LAMA3,,,,TMEM176B,,,,
CKS2,EREG,IFIT3,,,,,LAMB3,,,,TSPAN8,,,,
CLSPN,ERRFI1,IFITM1,,,,,LAMC2,,,,WFDC2,,,,
CMC2,ETS2,IFITM2,,,,,LGALS1,,,,,,,,
CNIH4,FADS3,IFITM3,,,,,LGALS3,,,,,,,,
CRNDE,FAM133B,IL32,,,,,LINC00152,,,,,,,,
DBF4,FAM46A,IRF1,,,,,MGST1,,,,,,,,
DDX39A,FAM53C,IRF7,,,,,MIF,,,,,,,,
DEK,FGFR3,ISG15,,,,,MMP1,,,,,,,,
DEPDC1,FHL2,ISG20,,,,,MMP3,,,,,,,,
DEPDC1B,FKBP4,KLHDC7B,,,,,MT1E,,,,,,,,
DHFR,FOS,LAMP3,,,,,MT2A,,,,,,,,
DIAPH3,FOSB,LAP3,,,,,MYH9,,,,,,,,
DLGAP5,FOSL1,LGALS3BP,,,,,MYL12B,,,,,,,,
DNAJC9,FOSL2,LGALS9,,,,,MYL6,,,,,,,,
DNMT1,FRMD4B,LY6E,,,,,MYO1B,,,,,,,,
DONSON,FUS,MDK,,,,,OCIAD2,,,,,,,,
DSN1,GADD45A,MSRB1,,,,,ODC1,,,,,,,,
DTL,GADD45B,MX1,,,,,PDLIM4,,,,,,,,
DTYMK,GADD45G,MX2,,,,,PDLIM7,,,,,,,,
DUT,GDF15,NNMT,,,,,PDPN,,,,,,,,
E2F1,GEM,NT5C3A,,,,,PFN1,,,,,,,,
ECT2,GOLGB1,NUB1,,,,,PFN2,,,,,,,,
EZH2,HBEGF,OAS1,,,,,PGAM1,,,,,,,,
FADS1,HES1,OAS2,,,,,PKM,,,,,,,,
FAM111A,HEXIM1,OAS3,,,,,PLA2G16,,,,,,,,
FAM111B,HNRNPU-AS1,OASL,,,,,PLAU,,,,,,,,
FAM64A,HSP90AA1,PARP14,,,,,PLEK2,,,,,,,,
FAM83D,HSPA1A,PARP9,,,,,PLP2,,,,,,,,
FANCA,HSPA1B,PDZK1IP1,,,,,PMEPA1,,,,,,,,
FANCD2,HSPA5,PLSCR1,,,,,PODXL,,,,,,,,
FANCI,HSPA6,PSMB10,,,,,PRKCDBP,,,,,,,,
FBLN1,HSPA8,PSMB8,,,,,PRSS23,,,,,,,,
FBXO5,HSPB1,PSMB9,,,,,PTRF,,,,,,,,
FEN1,HSPH1,PSME1,,,,,RBP1,,,,,,,,
FOXM1,ID1,PSME2,,,,,RHOC,,,,,,,,
GGCT,ID2,RARRES3,,,,,RHOD,,,,,,,,
GGH,IER2,RNF213,,,,,S100A10,,,,,,,,
GINS2,IER3,RSAD2,,,,,S100A11,,,,,,,,
GMNN,IER5,RTP4,,,,,S100A13,,,,,,,,
GPSM2,IFRD1,SAA1,,,,,S100A16,,,,,,,,
GTSE1,IL8,SAMD9,,,,,S100A2,,,,,,,,
H1F0,IRX2,SAMD9L,,,,,S100A6,,,,,,,,
H2AFV,ITPKC,SAMHD1,,,,,SERINC2,,,,,,,,
H2AFX,JAG1,SERPING1,,,,,SERPINE1,,,,,,,,
H2AFZ,JUN,SERPINH1,,,,,SERPINE2,,,,,,,,
HAUS1,JUNB,SLFN5,,,,,SH3BGRL3,,,,,,,,
HELLS,JUND,SOD2,,,,,SLC25A6,,,,,,,,
HINT1,KCNQ1OT1,SP100,,,,,SLC38A5,,,,,,,,
HIRIP3,KDM6B,SP110,,,,,SMS,,,,,,,,
HIST1H1D,KIAA1683,SPP1,,,,,SPINK6,,,,,,,,
HIST1H1E,KLF10,SQRDL,,,,,STEAP4,,,,,,,,
HIST1H2BJ,KLF2,STAT1,,,,,STOM,,,,,,,,
HIST1H4C,KLF4,TAP1,,,,,SULT1E1,,,,,,,,
HIST2H2AC,KLF5,TAP2.1,,,,,TAGLN,,,,,,,,
HJURP,KLF6,TAPBP,,,,,TAGLN2,,,,,,,,
HMG20B,LDLR,TGM2,,,,,TGFBI,,,,,,,,
HMGB1,LIF,TNFSF10,,,,,THBS1,,,,,,,,
HMGB2,LIMA1,TNFSF13B,,,,,TIMP1,,,,,,,,
HMGB3,LINC00910,TRIM22,,,,,TIMP3,,,,,,,,
HMGN2,LINC00936,TYMP,,,,,TMSB10,,,,,,,,
HMMR,LMNA,UBD,,,,,TMSB4X,,,,,,,,
HN1,MAFB,UBE2L6,,,,,TNC,,,,,,,,
HNRNPA1,MAFF,USP18,,,,,TNFRSF12A,,,,,,,,
HNRNPA2B1,MALAT1,VCAM1,,,,,TNFRSF21,,,,,,,,
HPRT1,MAP3K8,WARS,,,,,TNFRSF6B,,,,,,,,
HSPD1,MCL1,XAF1,,,,,TPM1,,,,,,,,
ILF2,METTL15,ZC3HAV1,,,,,TPM2,,,,,,,,
IQGAP3,MIDN,ZNFX1,,,,,TPM4,,,,,,,,
ITGB3BP,MIR222HG,,,,,,TRIM29,,,,,,,,
JPT1,MIR24-2,,,,,,TSHZ2,,,,,,,,
KIAA0101,MIR3064,,,,,,TXN,,,,,,,,
KIAA1524,MKNK2,,,,,,UACA,,,,,,,,
KIF11,MXD1,,,,,,VIM,,,,,,,,
KIF14,MYADM,,,,,,WDR1,,,,,,,,
KIF15,MYC,,,,,,YBX1,,,,,,,,
KIF18A,MYLIP,,,,,,ZBED2,,,,,,,,
KIF20A,NAMPT,,,,,,,,,,,,,,
KIF20B,NCOA7,,,,,,,,,,,,,,
KIF22,NEAT1,,,,,,,,,,,,,,
KIF23,NEDD9,,,,,,,,,,,,,,
KIF2C,NFKBIA,,,,,,,,,,,,,,
KIF4A,NFKBID,,,,,,,,,,,,,,
KIFC1,NFKBIZ,,,,,,,,,,,,,,
KNSTRN,NOP58,,,,,,,,,,,,,,
KPNA2,NPAS4,,,,,,,,,,,,,,
LIG1,NR4A1,,,,,,,,,,,,,,
LMNB1,NR4A2,,,,,,,,,,,,,,
LMNB2,NRARP,,,,,,,,,,,,,,
LSM4,NSUN6,,,,,,,,,,,,,,
LSM5,OVOL1,,,,,,,,,,,,,,
MAD2L1,PDK4,,,,,,,,,,,,,,
MAPRE1,PDLIM3,,,,,,,,,,,,,,
MCM10,PGM2L1,,,,,,,,,,,,,,
MCM2,PHLDA1,,,,,,,,,,,,,,
MCM3,PHLDA2,,,,,,,,,,,,,,
MCM4,PIM1,,,,,,,,,,,,,,
MCM5,PIM3,,,,,,,,,,,,,,
MCM6,PLAUR,,,,,,,,,,,,,,
MCM7,PLK2,,,,,,,,,,,,,,
MELK,PLK3,,,,,,,,,,,,,,
MIS18A,PMAIP1,,,,,,,,,,,,,,
MIS18BP1,PNRC1,,,,,,,,,,,,,,
MKI67,POLG2,,,,,,,,,,,,,,
MLF1IP,PPP1R10,,,,,,,,,,,,,,
MMS22L,PPP1R15A,,,,,,,,,,,,,,
MND1,PRKCA,,,,,,,,,,,,,,
MNS1,PRPF40A,,,,,,,,,,,,,,
MSH2,PTGS2,,,,,,,,,,,,,,
MSH6,PTRHD1,,,,,,,,,,,,,,
MTHFD1,RAB11FIP1,,,,,,,,,,,,,,
MXD3,RAB3IP,,,,,,,,,,,,,,
MYBL2,RALGDS,,,,,,,,,,,,,,
MZT1,RASD1,,,,,,,,,,,,,,
NAP1L1,RDH10,,,,,,,,,,,,,,
NASP,REL,,,,,,,,,,,,,,
NCAPD2,RGS2,,,,,,,,,,,,,,
NCAPD3,RHOB,,,,,,,,,,,,,,
NCAPG,RND1,,,,,,,,,,,,,,
NCAPG2,RND3,,,,,,,,,,,,,,
NDC80,RP1-313I6.12,,,,,,,,,,,,,,
NEK2,RP11-182L21.6,,,,,,,,,,,,,,
NMU,RP5-821D11.7,,,,,,,,,,,,,,
NRM,RP6-99M1.2,,,,,,,,,,,,,,
NUCB2,RRAD,,,,,,,,,,,,,,
NUCKS1,SEMA4A,,,,,,,,,,,,,,
NUDT1,SERTAD1,,,,,,,,,,,,,,
NUF2,SFN,,,,,,,,,,,,,,
NUSAP1,SIK1,,,,,,,,,,,,,,
OIP5,SLC20A1,,,,,,,,,,,,,,
ORC6,SLC38A2,,,,,,,,,,,,,,
PAQR4,SNHG12,,,,,,,,,,,,,,
PARPBP,SOCS1,,,,,,,,,,,,,,
PBK,SOCS3,,,,,,,,,,,,,,
PCLAF,SOX4,,,,,,,,,,,,,,
PCNA,SOX9,,,,,,,,,,,,,,
PHF19,SQSTM1,,,,,,,,,,,,,,
PIF1,TACSTD2,,,,,,,,,,,,,,
PKMYT1,TAF1D,,,,,,,,,,,,,,
PLK1,TCF7,,,,,,,,,,,,,,
POC1A,TCIM,,,,,,,,,,,,,,
POLD3,TFRC,,,,,,,,,,,,,,
PRC1,TGIF1,,,,,,,,,,,,,,
PRIM1,TIPARP,,,,,,,,,,,,,,
PRKDC,TLE4,,,,,,,,,,,,,,
PRR11,TM4SF1,,,,,,,,,,,,,,
PSIP1,TNFAIP2,,,,,,,,,,,,,,
PSMC3IP,TNFAIP3,,,,,,,,,,,,,,
PSRC1,TRIB1,,,,,,,,,,,,,,
PTMA,TSC22D1,,,,,,,,,,,,,,
PTMS,TSC22D3,,,,,,,,,,,,,,
PTN,UBC,,,,,,,,,,,,,,
PTTG1,UGDH,,,,,,,,,,,,,,
RACGAP1,VPS37B,,,,,,,,,,,,,,
RAD21,WEE1,,,,,,,,,,,,,,
RAD51,YBX3,,,,,,,,,,,,,,
RAD51AP1,YME1L1,,,,,,,,,,,,,,
RAD51C,YOD1,,,,,,,,,,,,,,
RAN,ZBTB43,,,,,,,,,,,,,,
RANBP1,ZC3H12A,,,,,,,,,,,,,,
RBL1,ZFAND2A,,,,,,,,,,,,,,
RECQL4,ZFP36,,,,,,,,,,,,,,
RFC2,ZFP36L1,,,,,,,,,,,,,,
RFC3,ZFP36L2,,,,,,,,,,,,,,
RFC4,ZNF165,,,,,,,,,,,,,,
RFC5,ZNF430,,,,,,,,,,,,,,
RMI2,,,,,,,,,,,,,,,
RNASEH2A,,,,,,,,,,,,,,,
RNASEH2B,,,,,,,,,,,,,,,
RNF26,,,,,,,,,,,,,,,
RPA2,,,,,,,,,,,,,,,
RPA3,,,,,,,,,,,,,,,
RRM1,,,,,,,,,,,,,,,
RRM2,,,,,,,,,,,,,,,
SAPCD2,,,,,,,,,,,,,,,
SGOL1,,,,,,,,,,,,,,,
SGOL2,,,,,,,,,,,,,,,
SHCBP1,,,,,,,,,,,,,,,
SIVA1,,,,,,,,,,,,,,,
SKA2,,,,,,,,,,,,,,,
SKA3,,,,,,,,,,,,,,,
SLBP,,,,,,,,,,,,,,,
SLC25A5,,,,,,,,,,,,,,,
SLC43A3,,,,,,,,,,,,,,,
SMC1A,,,,,,,,,,,,,,,
SMC2,,,,,,,,,,,,,,,
SMC4,,,,,,,,,,,,,,,
SNRNP25,,,,,,,,,,,,,,,
SNRPB,,,,,,,,,,,,,,,
SNRPD1,,,,,,,,,,,,,,,
SPAG5,,,,,,,,,,,,,,,
SPC24,,,,,,,,,,,,,,,
SPC25,,,,,,,,,,,,,,,
SPDL1,,,,,,,,,,,,,,,
STMN1,,,,,,,,,,,,,,,
STRA13,,,,,,,,,,,,,,,
SUN2,,,,,,,,,,,,,,,
SYT8,,,,,,,,,,,,,,,
TACC3,,,,,,,,,,,,,,,
TCF19,,,,,,,,,,,,,,,
TEX30,,,,,,,,,,,,,,,
TFDP1,,,,,,,,,,,,,,,
TK1,,,,,,,,,,,,,,,
TMEM106C,,,,,,,,,,,,,,,
TMEM97,,,,,,,,,,,,,,,
TMPO,,,,,,,,,,,,,,,
TNFAIP8L1,,,,,,,,,,,,,,,
TOP2A,,,,,,,,,,,,,,,
TPX2,,,,,,,,,,,,,,,
TRIP13,,,,,,,,,,,,,,,
TROAP,,,,,,,,,,,,,,,
TTK,,,,,,,,,,,,,,,
TUBA1B,,,,,,,,,,,,,,,
TUBA1C,,,,,,,,,,,,,,,
TUBB,,,,,,,,,,,,,,,
TUBB4B,,,,,,,,,,,,,,,
TUBB6,,,,,,,,,,,,,,,
TUBG1,,,,,,,,,,,,,,,
TYMS,,,,,,,,,,,,,,,
UBE2C,,,,,,,,,,,,,,,
UBE2S,,,,,,,,,,,,,,,
UBE2T,,,,,,,,,,,,,,,
UHRF1,,,,,,,,,,,,,,,
UNG,,,,,,,,,,,,,,,
USP1,,,,,,,,,,,,,,,
VRK1,,,,,,,,,,,,,,,
WDR34,,,,,,,,,,,,,,,
WDR76,,,,,,,,,,,,,,,
ZWILCH,,,,,,,,,,,,,,,
ZWINT,,,,,,,,,,,,,,,
