Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human	52/1063	3.127760098031231E-14	1.4141943871812638E-12	0	0	3.891925659846947	121.02283062552954	PTPRT;DOCK8;CHD7;FMN1;ROBO1;ALCAM;NETO1;LRRFIP1;SOX5;MAGI1;EPHA4;SLC38A1;GRID2;DST;DAPK1;LIMCH1;REV1;PRKCA;PROX1;RUNX1;PARD3B;DNM3;TCERG1L;PITPNM3;CDH13;ZFPM2;TOX;MCTP2;MET;NLGN1;KHDRBS3;EPAS1;NEDD4L;FIGN;PKHD1;PALMD;PLXNA2;STXBP6;MPDZ;CD55;RUNX1T1;TMEM132D;TCF7L2;AUTS2;EYA1;EYA2;CADPS;PLXDC2;BMP5;PEX5L;NFIA;SLCO4C1
CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse	67/1735	3.042514300939341E-13	1.283941034996402E-11	0	0	3.1221858719920617	89.98427536961272	SH2D4A;FMN1;FMN2;AHR;TSPAN11;SLC8A1;CDC14A;ROBO1;SYNE1;SMPD3;MECOM;D230025D16RIK;AOX3;TNR;SCD1;NCKAP5;SOX5;MAGI1;ANXA2;DAPK1;CACNA2D1;HGF;REV1;OSMR;RUNX1;GPRIN3;MDFIC;CDH13;MALAT1;MCTP2;DOCK1;ANK;RAI14;NFIX;SEMA3A;MGST1;CACNA1C;NOL4;LPP;LTBP1;EGFR;ZFP36L1;SELENBP1;PALMD;SPP1;MPDZ;RUNX1T1;PTPRN2;SYT1;PLCL2;DCLK2;NFATC2;FMO2;PPP2R3A;PLXDC2;SMAD6;PTPN13;CP;MEIS2;ARHGAP24;VEGFA;SMAD7;GNAO1;NFIA;BCL6;SCGB1A1;PDE7A
SUZ12 18692474 ChIP-Seq MESCs Mouse	70/1909	9.320793612364304E-13	3.6875389728916274E-11	0	0	2.9690048939641107	82.24546875497954	PTPRT;PCSK1;RYR2;DOCK8;PDE3B;RORB;SLC4A4;TSPAN11;SMPD3;GRM5;ALCAM;ATP7B;NETO1;NRCAM;RNF152;RGS7;EPHA4;GRID2;IGFBP5;CACNA2D1;CACNA2D3;PRKCA;PROX1;ATP11A;OSMR;RUNX1;PARD3B;DNAJC6;PITPNM3;RARB;CDH13;ZFPM2;TOX;NLGN1;NFIX;EPAS1;PON2;NTN4;CACNA1C;CPLX2;NOL4;EGFR;NPAS2;DPP4;STOX2;PTPRZ1;PRDM16;PLXNA2;STXBP6;ATP6V1C2;SAMD4;TMEM132D;PPP1R14C;EYA1;ATP8B1;LRBA;PLCL2;CADPS;NFATC2;SMAD6;PTPN13;NFASC;FGF14;FRAS1;NFIA;KITL;PPP2R2B;BCL2;PAM;SNTB1
ZFP57 27257070 Chip-Seq ESCs Mouse	50/1088	1.1081922867228984E-12	4.126386573503498E-11	0	0	3.6103953385797527	99.38801350072555	GABRB3;FMN2;PTPRK;IKZF2;SLC8A1;ROBO1;ALCAM;NETO1;DNER;NCKAP5;RNF152;SOX5;EPHA4;ANXA2;DAPK1;PARD3B;MDFIC;CDH13;NAF1;MCTP2;SP100;NLGN1;KHDRBS3;NRXN1;SEMA3A;NALCN;ZFP36L1;PTPRZ1;TSPAN9;CDH20;STXBP6;MPDZ;CD55;RUNX1T1;TMEM132D;SYT1;PCDH9;LRBA;PPP2R3A;PLXDC2;ST18;GNAO1;AHI1;FGF14;NFIA;PPP2R2B;SLCO4C1;BCL2;SPATS2L;SNTB1
SUZ12 18974828 ChIP-Seq MESCs Mouse	70/1934	1.7259949072454436E-12	6.069748757146477E-11	0	0	2.9250848061172854	79.22655810323653	PTPRT;PCSK1;RYR2;ZFP521;DOCK8;PDE3B;RORB;SLC4A4;ALCAM;ATP7B;NETO1;TNR;RNF152;EPHA4;GRID2;IGFBP5;CACNA2D1;MTUS1;CACNA2D3;PROX1;OSMR;E330009J07RIK;RUNX1;PARD3B;GPRIN3;PITPNM3;CDH13;ZFPM2;TOX;ANK;NLGN1;NFIX;EPAS1;PON2;NTN4;CPLX2;NOL4;LTBP1;EGFR;NPAS2;DPP4;CDH20;PRDM16;NCAM1;STXBP6;TRPM6;ATP6V1C2;SAMD4;TMEM132D;SMAD3;PPP1R14C;AUTS2;EYA1;ATP8B1;PLCL2;CADPS;NFATC2;ARHGAP29;PLXDC2;SMAD6;DHRS3;FRAS1;NFIA;KITL;PPP2R2B;WNK2;BCL2;SDC1;CPEB2;SNTB1
AR 22383394 ChIP-Seq PROSTATE CANCER Human	68/1857	2.305614028927613E-12	7.681335159532521E-11	0	0	2.9473429495788355	78.97604109353439	GABRB3;PCSK1;SH2D4A;DOCK8;PREP;ELAVL4;FMN1;IKZF2;HNMT;SLC4A4;SLC8A1;RIMS2;UNC80;MECOM;NETO1;RASGEF1B;MAGI1;EPHA4;DAPK1;CACNA2D1;MYOF;CACNA2D3;PRKCA;ATP1B1;GPRIN3;EML5;MDFIC;COL4A5;CDH13;LCP1;TOX;DOCK1;RAI14;YAP1;RBM47;DDC;MAOB;SEMA3A;MGST1;NEDD4L;FIGN;CACNA1C;IQGAP2;LPP;EGFR;ZFP36L1;DPP4;FAM171A1;FUT8;PLXNA2;STXBP6;CCDC141;MPDZ;CD55;E2F7;WWTR1;EYA1;EYA2;LRBA;DCLK2;PTPN13;STXBP5L;MYO1D;CCDC88A;NFIA;DMXL2;SPATS2L;PDE7A
FOXM1 26456572 ChIP-Seq MCF-7 Human	71/2000	2.8700377922019374E-12	9.083669612319131E-11	0	0	2.86898038252708	76.24801922178682	SH2D4A;PDE3B;PTPRK;AHR;HNMT;SLC4A4;RIMS2;ALCAM;MECOM;NETO1;RASGEF1B;NRCAM;NCKAP5;MAGI1;EPHA4;SLC38A1;GRID2;ANXA2;IGFBP5;DST;DAPK1;LIMCH1;CACNA2D3;TC2N;RUNX1;MDFIC;CLIP4;MET;SP100;RBM47;NLGN1;SEMA3A;MGST1;NTN4;FIGN;SEMA3E;CACNA1C;CPLX2;LTBP1;DPP4;FAM171A1;FUT8;PALMD;DMD;MPDZ;CD55;E2F7;SMAD3;AUTS2;PCDH9;EYA2;LRBA;CADPS;KCNJ15;DCLK2;NFATC2;PTPN13;CP;ESR1;MEIS2;PTPN14;BMP5;NFIA;BCL6;PPP2R2B;MYO5C;SLCO4C1;DMXL2;SDC1;SPATS2L;SNTB1
TCFCP2L1 18555785 Chip-Seq ESCs Mouse	70/2000	8.274246393075933E-12	2.362011915380855E-10	0	0	2.8146028010950968	71.8226775812991	PTPRT;SNAP25;CHD7;FMN1;FMN2;IKZF2;HNMT;UNC80;PCLO;MECOM;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;DNAJC6;RAPGEF4;SP100;NLGN1;FIGN;NPAS2;PKHD1;DPP4;FAM171A1;PALMD;CDH20;PRDM16;PLXNA2;PAK6;CCDC141;SCN3A;MPDZ;CD55;ZFP462;EYA1;EYA2;LRBA;4930523C07RIK;DCLK2;NFATC2;FMO1;ARHGAP29;FMO2;SYT14;PLXDC2;PTPN13;MEIS2;PTPN14;ST18;ARHGAP24;PEX5L;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PAM
EBF1 22473956 ChIP-Seq BONE MARROW Mouse	70/2000	8.274246393075933E-12	2.362011915380855E-10	0	0	2.8146028010950968	71.8226775812991	PTPRT;SNAP25;CHD7;FMN1;FMN2;IKZF2;HNMT;TSPAN11;UNC80;MECOM;RASGEF1B;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;ZFP618;PROX1;ATP1B1;PARD3B;DNM3;TOX;RAPGEF4;SP100;NLGN1;FIGN;NPAS2;PKHD1;DPP4;FAM171A1;PALMD;CDH20;PLXNA2;CCDC141;SCN3A;CD55;RUNX1T1;ZFP462;WWTR1;EYA1;EYA2;4930523C07RIK;DCLK2;NFATC2;FMO1;ARHGAP29;FMO2;SYT14;PLXDC2;MEIS2;PTPN14;ST18;PEX5L;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PDE7A;PAM;IL18R1
LMO2 26923725 Chip-Seq HEMANGIOBLAST Mouse	66/1822	8.582349771526014E-12	2.362011915380855E-10	0	0	2.8947226920332008	73.76133604588408	PTPRT;RAB3C;ZFP521;SH2D4A;PREP;FMN2;RORB;IKZF2;RIMS2;PCLO;AOX3;NCKAP5;MAGI1;EPHA4;GPR39;VWF;DAPK1;HGF;MYOF;REV1;ZFP618;PROX1;E330009J07RIK;RUNX1;PARD3B;TCERG1L;DNAJC6;COL8A1;CDH13;ZFPM2;MCTP2;RBM47;DDC;KHDRBS3;NRXN1;SEMA3A;CACNA1A;NPAS2;ZFP36L1;FAM171A1;TSPAN9;CDH20;PRDM16;ASCC2;STXBP6;CD55;RUNX1T1;TMEM132D;PTPRN2;SYT1;AUTS2;EYA1;KCNJ15;4930523C07RIK;NFATC2;PPP2R3A;SMAD6;ESR1;VEGFA;SMAD7;MYO1D;FRAS1;NFIA;BCL6;SDC1;HCN1
NANOG 18555785 Chip-Seq ESCs Mouse	69/2000	2.3411348796110622E-11	6.174743244974176E-10	0	0	2.7607457276022784	67.57698237804851	PTPRT;SNAP25;CHD7;FMN1;FMN2;IKZF2;HNMT;UNC80;MECOM;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;LIMCH1;REV1;PROX1;ATP1B1;PARD3B;DNM3;TOX;FREM1;RAPGEF4;SP100;NLGN1;FIGN;NPAS2;PKHD1;DPP4;FAM171A1;PALMD;CDH20;PLXNA2;CCDC141;CD55;RUNX1T1;WWTR1;AUTS2;EYA1;EYA2;LRBA;4930523C07RIK;DCLK2;NFATC2;FMO1;ARHGAP29;FMO2;SYT14;PLXDC2;MEIS2;PTPN14;ST18;PEX5L;NFASC;FAM135A;NFIA;SLCO4C1;BCL2;SPATS2L;PAM;IL18R1
