"loci","TF"
"chr11_128469845_128470616","CEBPA"
"chr11_128735790_128736663","GATA2"
"chr11_128631984_128632812","CEBPA"
"chr11_128464941_128465342","SPI1"
"chr11_128693727_128694525","GATA2"
"chr11_128695608_128696497","SPI1"
"chr11_128699625_128700528","JUN"
"chr11_128471994_128472845","CEBPA"
"chr11_128802336_128802843","SPI1"
"chr11_128903437_128904298","JUN"
"chr11_128837333_128838186","FLI1"
"chr11_128582529_128583435","SPI1"
"chr11_128582529_128583435","CEBPA"
"chr11_128619724_128620615","GATA2"
"chr11_128619724_128620615","SPI1"
"chr11_128619724_128620615","JUN"
"chr11_128916477_128917425","GATA2"
"chr11_128916477_128917425","SPI1"
"chr11_128488331_128489255","GATA2"
"chr11_128488331_128489255","CEBPA"
"chr11_128483237_128483954","SPI1"
"chr11_128483237_128483954","CEBPA"
"chr11_128525248_128526153","GATA2"
"chr11_128525248_128526153","JUN"
"chr11_128738665_128739592","SPI1"
"chr11_128862088_128862987","GATA2"
"chr11_128862088_128862987","SPI1"
"chr11_128482320_128483105","CEBPA"
"chr11_128734167_128734984","GATA2"
"chr11_128684635_128685313","SPI1"
"chr11_128503356_128504284","GATA2"
"chr11_128579599_128580473","SPI1"
"chr11_128579599_128580473","FLI1"
"chr11_128658217_128659073","SPI1"
"chr11_128544373_128545299","CEBPA"
"chr11_128845123_128846013","SPI1"
"chr11_128449147_128449883","CEBPA"
"chr11_128839859_128840734","CEBPA"
"chr11_128841287_128842203","CEBPA"
"chr11_128603822_128604728","SPI1"
"chr11_128476461_128477358","GATA2"
"chr11_128476461_128477358","SPI1"
"chr11_128476461_128477358","JUN"
"chr11_128498464_128499376","GATA2"
"chr11_128720324_128721193","GATA2"
"chr11_128630169_128631048","SPI1"
"chr11_128563758_128564671","SPI1"
"chr11_128563758_128564671","CEBPA"
"chr11_128886270_128887145","CEBPA"
"chr11_128628405_128629239","GATA2"
"chr11_128552721_128553602","SPI1"
"chr11_128757004_128757881","SPI1"
"chr11_128551465_128552251","SPI1"
"chr11_128848526_128849406","GATA2"
"chr19_33293144_33293897","CEBPA"
"chr19_33331963_33332851","SPI1"
"chr19_33259225_33260014","FLI1"
"chr19_33259225_33260014","CEBPA"
"chr19_33176759_33177578","FLI1"
"chr19_33248928_33249793","CEBPA"
"chr19_33260591_33261455","SPI1"
"chr19_33151990_33152854","CEBPA"
"chr19_33151990_33152854","JUN"
"chr19_33298214_33299132","SPI1"
"chr19_33235070_33235932","GATA2"
"chr19_33430266_33431135","FLI1"
"chr19_33330325_33331159","GATA2"
"chr19_33330325_33331159","JUN"
"chr19_33278348_33279047","SPI1"
"chr19_33278348_33279047","JUN"
"chr19_33231203_33232104","CEBPA"
"chr19_33118811_33119738","CEBPA"
"chr19_33160202_33161109","GATA2"
"chr19_33160202_33161109","FLI1"
"chr19_33077661_33078560","GATA2"
"chr19_33077661_33078560","CEBPA"
"chr19_33077661_33078560","JUN"
"chr19_33371963_33372669","SPI1"
"chr19_33268315_33269213","SPI1"
"chr19_33183970_33184870","SPI1"
"chr19_33280252_33281170","SPI1"
"chr19_33063091_33063854","GATA2"
"chr19_33063091_33063854","SPI1"
"chr19_33063091_33063854","JUN"
"chr19_33440958_33441866","GATA2"
"chr19_33124426_33125169","GATA2"
"chr19_13069403_13070281","GATA2"
"chr19_13069403_13070281","SPI1"
"chr19_12933292_12934172","JUN"
"chr19_12664908_12665729","SPI1"
"chr19_13102520_13103447","GATA2"
"chr19_13102520_13103447","SPI1"
"chr19_12716682_12717565","GATA2"
"chr19_12656749_12657572","SPI1"
"chr19_13116315_13117179","SPI1"
"chr19_12945380_12946248","SPI1"
"chr19_12945380_12946248","FLI1"
"chr19_12945380_12946248","JUN"
"chr19_12883373_12884221","CEBPA"
"chr19_13012822_13013704","SPI1"
"chr19_12956766_12957671","SPI1"
"chr19_12728457_12729333","SPI1"
"chr19_12799939_12800722","GATA2"
"chr19_12736814_12737726","JUN"
"chr19_12669049_12669953","SPI1"
"chr19_12669049_12669953","FLI1"
"chr19_12639824_12640722","JUN"
"chr19_12786037_12786876","SPI1"
"chr19_12828189_12829114","CEBPA"
"chr19_12796194_12797064","GATA2"
"chr19_12983254_12984155","SPI1"
"chr19_12881053_12881959","SPI1"
"chr19_12913766_12914664","SPI1"
"chr19_12913766_12914664","FLI1"
"chr19_12696206_12697097","SPI1"
"chr19_12696206_12697097","FLI1"
"chr19_13132301_13133181","JUN"
"chr19_13099261_13100016","FLI1"
"chr19_13051400_13052265","CEBPA"
"chr19_12729850_12730712","SPI1"
"chr19_13079203_13080055","SPI1"
"chr19_12681418_12682203","SPI1"
"chr19_12681418_12682203","FLI1"
"chr19_12681418_12682203","CEBPA"
"chr19_12929883_12930754","SPI1"
"chr19_13121920_13122862","GATA2"
"chr1_92583664_92584484","CEBPA"
"chr1_92459604_92460512","SPI1"
"chr1_92563235_92564161","SPI1"
"chr1_92475933_92476820","CEBPA"
"chr1_92461495_92462404","CEBPA"
"chr1_92365493_92366362","CEBPA"
"chr1_92501990_92502889","JUN"
"chr1_92309860_92310753","CEBPA"
"chr1_92309860_92310753","JUN"
"chr1_92317563_92318483","CEBPA"
"chr1_92317563_92318483","JUN"
"chr1_92367312_92368133","SPI1"
"chr1_92367312_92368133","FLI1"
"chr1_92466614_92467448","GATA2"
"chr1_92466614_92467448","SPI1"
"chr1_92536675_92537478","SPI1"
"chr1_92464522_92465365","SPI1"
"chr1_92544457_92545347","JUN"
"chr1_92504403_92505238","JUN"
"chr1_92311717_92312595","GATA2"
"chr1_92410428_92411258","GATA2"
"chr1_92410428_92411258","JUN"
"chr16_88491356_88492252","GATA2"
"chr16_88491356_88492252","JUN"
"chr16_88511613_88512480","GATA2"
"chr16_88511613_88512480","FLI1"
"chr16_88569884_88570772","SPI1"
"chr16_88523449_88524266","GATA2"
"chr16_88461619_88462477","GATA2"
"chr16_88598906_88599826","SPI1"
"chr16_88458232_88459068","GATA2"
"chr16_88458232_88459068","JUN"
"chr16_88516204_88516999","GATA2"
"chr16_88469701_88470569","JUN"
"chr16_88430294_88431174","SPI1"
"chr16_88636862_88637746","JUN"
"chr16_88477773_88478676","SPI1"
"chr16_88700603_88701485","FLI1"
"chr16_88479629_88480351","GATA2"
"chr16_88479629_88480351","SPI1"
"chr16_88409818_88410629","JUN"
"chr16_88681541_88682445","SPI1"
"chr16_88448256_88448994","SPI1"
"chr16_88619683_88620597","SPI1"
"chr16_88347763_88348638","FLI1"
"chr16_88691621_88692534","SPI1"
"chr16_88691621_88692534","JUN"
"chr16_88468282_88469205","CEBPA"
"chr16_88547837_88548790","FLI1"
"chr16_88547837_88548790","CEBPA"
"chr16_88601768_88602641","CEBPA"
"chr16_88549858_88550727","GATA2"
"chr16_88384377_88385017","SPI1"
"chr16_88600353_88600961","CEBPA"
"chr16_88596143_88596941","SPI1"
"chr16_88596143_88596941","CEBPA"
"chr16_88596143_88596941","JUN"
"chr1_47192595_47193507","SPI1"
"chr1_47262649_47263514","GATA2"
"chr1_47313847_47314760","SPI1"
"chr1_47313847_47314760","FLI1"
"chr1_47436154_47436855","CEBPA"
"chr1_47241417_47242252","SPI1"
"chr1_47175026_47175919","JUN"
"chr1_47211545_47212436","SPI1"
"chr1_47238991_47239917","SPI1"
"chr1_47235042_47235992","SPI1"
"chr1_47237234_47238090","CEBPA"
"chr1_47207850_47208709","JUN"
"chr1_47289022_47289938","CEBPA"
"chr1_47289022_47289938","JUN"
"chr1_58883186_58884139","GATA2"
"chr1_58883186_58884139","SPI1"
"chr1_58968168_58969068","GATA2"
"chr1_58903348_58904271","SPI1"
"chr1_58652305_58653189","JUN"
"chr1_59007689_59008459","SPI1"
"chr1_58964604_58965471","GATA2"
"chr1_58964604_58965471","CEBPA"
"chr1_58816026_58816898","SPI1"
"chr1_58895156_58895998","JUN"
"chr1_58898705_58899579","GATA2"
"chr1_58898705_58899579","SPI1"
"chr1_58898705_58899579","CEBPA"
"chr1_58773195_58773999","GATA2"
"chr1_58739842_58740571","GATA2"
"chr1_58755175_58755890","FLI1"
"chr1_58978995_58979836","SPI1"
"chr1_58881217_58882077","CEBPA"
"chr1_58884781_58885606","GATA2"
"chr1_58717900_58718770","CEBPA"
"chr1_58932620_58933485","GATA2"
"chr1_58738614_58739430","SPI1"
"chr1_58738614_58739430","JUN"
"chr1_58854294_58855223","GATA2"
"chr1_58854294_58855223","SPI1"
"chr1_58861342_58862192","JUN"
"chr1_58621112_58621955","GATA2"
"chr1_58621112_58621955","SPI1"
"chr1_58621112_58621955","CEBPA"
"chr1_58919707_58920541","SPI1"
"chr1_58919707_58920541","CEBPA"
"chr1_58597720_58598595","SPI1"
"chr1_58597720_58598595","JUN"
"chr1_58859956_58860835","GATA2"
"chr1_58573579_58574431","SPI1"
"chr1_58809425_58810262","SPI1"
"chr1_58809425_58810262","CEBPA"
"chr1_58809425_58810262","JUN"
"chr1_58649560_58650388","SPI1"
"chr1_58649560_58650388","FLI1"
"chr1_58710524_58711425","SPI1"
"chr1_58710524_58711425","CEBPA"
"chr1_58648475_58649225","JUN"
