"Peak1","Peak2","coaccess"
"chr11_128449147_128449883","chr11_128726562_128727380",0
"chr11_128449147_128449883","chr11_128728761_128729708",0
"chr11_128449147_128449883","chr11_128730759_128731660",0
"chr11_128449147_128449883","chr11_128734167_128734984",0
"chr11_128449147_128449883","chr11_128735790_128736663",0
"chr11_128449147_128449883","chr11_128738665_128739592",0
"chr11_128449147_128449883","chr11_128745532_128746374",0
"chr11_128449147_128449883","chr11_128747441_128748365",0
"chr11_128464941_128465342","chr11_128449147_128449883",0
"chr11_128464941_128465342","chr11_128469845_128470616",-0.000309416859191087
"chr11_128464941_128465342","chr11_128471119_128471862",-0.00662116553978544
"chr11_128464941_128465342","chr11_128471994_128472845",-0.00118996381839498
"chr11_128464941_128465342","chr11_128476461_128477358",0
"chr11_128464941_128465342","chr11_128482320_128483105",0.00010800620110526
"chr11_128464941_128465342","chr11_128483237_128483954",0.0018832222199664
"chr11_128464941_128465342","chr11_128488331_128489255",-0.00119620430179312
"chr11_128464941_128465342","chr11_128492920_128493755",0
"chr11_128464941_128465342","chr11_128494330_128495120",-0.00294910443223287
"chr11_128464941_128465342","chr11_128496778_128497610",0
"chr11_128464941_128465342","chr11_128498464_128499376",-0.00089180904784239
"chr11_128464941_128465342","chr11_128503356_128504284",0
"chr11_128464941_128465342","chr11_128512226_128513133",-0.000974952098549198
"chr11_128464941_128465342","chr11_128521993_128522901",0.00130066344326413
"chr11_128464941_128465342","chr11_128525248_128526153",-0.0156313763431334
"chr11_128464941_128465342","chr11_128527740_128528356",-0.0076116634226545
"chr11_128464941_128465342","chr11_128544373_128545299",-0.0104657015999609
"chr11_128464941_128465342","chr11_128548424_128549323",-0.0211579098555814
"chr11_128464941_128465342","chr11_128551465_128552251",0
"chr11_128464941_128465342","chr11_128552721_128553602",0
"chr11_128464941_128465342","chr11_128563758_128564671",0
"chr11_128464941_128465342","chr11_128565642_128566554",-0.00239913746877096
"chr11_128464941_128465342","chr11_128567999_128568808",0.0348371221482444
"chr11_128464941_128465342","chr11_128575556_128576368",0
"chr11_128464941_128465342","chr11_128579599_128580473",-0.0226756095935915
"chr11_128464941_128465342","chr11_128582529_128583435",-0.0130489667617257
"chr11_128464941_128465342","chr11_128603822_128604728",0
"chr11_128464941_128465342","chr11_128610841_128611714",-0.000297683193261174
"chr11_128464941_128465342","chr11_128613330_128614231",0.0328226179027918
"chr11_128464941_128465342","chr11_128619724_128620615",0
"chr11_128464941_128465342","chr11_128624107_128624982",-0.0406280028710557
"chr11_128464941_128465342","chr11_128628405_128629239",0
"chr11_128464941_128465342","chr11_128630169_128631048",-0.00103727725363662
"chr11_128464941_128465342","chr11_128631984_128632812",-0.0157172852603385
"chr11_128464941_128465342","chr11_128643400_128644283",0.0129700907188657
"chr11_128464941_128465342","chr11_128653516_128654408",-0.027114828519768
"chr11_128464941_128465342","chr11_128658217_128659073",-0.0110931363714236
"chr11_128464941_128465342","chr11_128660704_128661623",-0.00702996795088754
"chr11_128464941_128465342","chr11_128663802_128664602",0
"chr11_128464941_128465342","chr11_128669231_128670133",0.0238958756225656
"chr11_128464941_128465342","chr11_128677879_128678701",0
"chr11_128464941_128465342","chr11_128684635_128685313",0.0443819276839328
"chr11_128464941_128465342","chr11_128685715_128686496",-0.0124579296799054
"chr11_128464941_128465342","chr11_128686676_128687525",-0.0108151987410855
"chr11_128464941_128465342","chr11_128692654_128693407",-0.0325931791619436
"chr11_128464941_128465342","chr11_128693727_128694525",-0.021542513887557
"chr11_128464941_128465342","chr11_128695608_128696497",-0.0154356373733686
"chr11_128464941_128465342","chr11_128699625_128700528",-0.0361255464668985
"chr11_128464941_128465342","chr11_128703388_128704277",-0.0574537883889558
"chr11_128464941_128465342","chr11_128705365_128706204",-0.0105631157994393
"chr11_128464941_128465342","chr11_128707091_128707883",-0.0658154277939047
"chr11_128464941_128465342","chr11_128713337_128714200",-0.0952151572742867
"chr11_128464941_128465342","chr11_128716647_128717362",-0.0614804302195327
"chr11_128464941_128465342","chr11_128718565_128719467",-0.115178185152964
"chr11_128464941_128465342","chr11_128720324_128721193",-0.018056331565704
"chr11_128464941_128465342","chr11_128725283_128726122",-0.00749070306171709
"chr11_128464941_128465342","chr11_128726562_128727380",-0.0628830146461476
"chr11_128464941_128465342","chr11_128728761_128729708",-0.0154442463842389
"chr11_128464941_128465342","chr11_128730759_128731660",0
"chr11_128464941_128465342","chr11_128734167_128734984",0
"chr11_128464941_128465342","chr11_128735790_128736663",0.017354951647396
"chr11_128464941_128465342","chr11_128738665_128739592",-0.0114171362187699
"chr11_128464941_128465342","chr11_128745532_128746374",0
"chr11_128464941_128465342","chr11_128747441_128748365",0
"chr11_128469845_128470616","chr11_128449147_128449883",0
"chr11_128469845_128470616","chr11_128464941_128465342",-0.000309416859191087
"chr11_128469845_128470616","chr11_128471119_128471862",0.0467314791228
"chr11_128469845_128470616","chr11_128471994_128472845",0.00554870610088161
"chr11_128469845_128470616","chr11_128476461_128477358",0
"chr11_128469845_128470616","chr11_128482320_128483105",6.24026367895614e-06
"chr11_128469845_128470616","chr11_128483237_128483954",0.000108806745338735
"chr11_128469845_128470616","chr11_128488331_128489255",0.000107249626155845
"chr11_128469845_128470616","chr11_128492920_128493755",0
"chr11_128469845_128470616","chr11_128494330_128495120",0.000341903096588139
"chr11_128469845_128470616","chr11_128496778_128497610",0
"chr11_128469845_128470616","chr11_128498464_128499376",7.99580697378573e-05
"chr11_128469845_128470616","chr11_128503356_128504284",0
"chr11_128469845_128470616","chr11_128512226_128513133",0.000131647363313602
"chr11_128469845_128470616","chr11_128521993_128522901",0.000914055546557375
"chr11_128469845_128470616","chr11_128525248_128526153",0.00140615291617467
"chr11_128469845_128470616","chr11_128527740_128528356",0.000744763432983526
"chr11_128469845_128470616","chr11_128544373_128545299",0.00157721860402083
"chr11_128469845_128470616","chr11_128548424_128549323",0.00199720181275455
"chr11_128469845_128470616","chr11_128551465_128552251",0
"chr11_128469845_128470616","chr11_128552721_128553602",0
"chr11_128469845_128470616","chr11_128563758_128564671",0
"chr11_128469845_128470616","chr11_128565642_128566554",0.000323954502442286
"chr11_128469845_128470616","chr11_128567999_128568808",-0.0047040416478665
"chr11_128469845_128470616","chr11_128575556_128576368",0
"chr11_128469845_128470616","chr11_128579599_128580473",0.00235384024530061
"chr11_128469845_128470616","chr11_128582529_128583435",0.0015829858962457
"chr11_128469845_128470616","chr11_128603822_128604728",0
"chr11_128469845_128470616","chr11_128610841_128611714",6.25592257698171e-05
"chr11_128469845_128470616","chr11_128613330_128614231",-0.00689779473688888
"chr11_128469845_128470616","chr11_128619724_128620615",0
"chr11_128469845_128470616","chr11_128624107_128624982",0.00240008431558849
"chr11_128469845_128470616","chr11_128628405_128629239",0
"chr11_128469845_128470616","chr11_128630169_128631048",0.000217987657231347
"chr11_128469845_128470616","chr11_128631984_128632812",0.00113413642882596
"chr11_128469845_128470616","chr11_128643400_128644283",-0.00115490242151164
"chr11_128469845_128470616","chr11_128653516_128654408",0.00143849175400306
"chr11_128469845_128470616","chr11_128658217_128659073",0.00121543668701676
"chr11_128469845_128470616","chr11_128660704_128661623",0.00111476335117109
"chr11_128469845_128470616","chr11_128663802_128664602",0
"chr11_128469845_128470616","chr11_128669231_128670133",-0.00134028895849285
"chr11_128469845_128470616","chr11_128677879_128678701",0
"chr11_128469845_128470616","chr11_128684635_128685313",-0.000943269734936873
"chr11_128469845_128470616","chr11_128685715_128686496",0.000999540406215155
"chr11_128469845_128470616","chr11_128686676_128687525",0.000703338043306035
"chr11_128469845_128470616","chr11_128692654_128693407",0.00274581479272492
"chr11_128469845_128470616","chr11_128693727_128694525",0.00121853053194323
"chr11_128469845_128470616","chr11_128695608_128696497",0.00120063402145371
"chr11_128469845_128470616","chr11_128699625_128700528",0.00230808027260728
"chr11_128469845_128470616","chr11_128703388_128704277",0.00652779402770047
"chr11_128469845_128470616","chr11_128705365_128706204",0.000512991308962389
"chr11_128469845_128470616","chr11_128707091_128707883",0.00369841397351358
"chr11_128469845_128470616","chr11_128713337_128714200",0.00410539207382585
"chr11_128469845_128470616","chr11_128716647_128717362",0.00302840769655479
"chr11_128469845_128470616","chr11_128718565_128719467",0.0047172516297273
"chr11_128469845_128470616","chr11_128720324_128721193",0.00216011931643037
"chr11_128469845_128470616","chr11_128725283_128726122",0.000671603589628753
"chr11_128469845_128470616","chr11_128726562_128727380",0.00563798324604117
"chr11_128469845_128470616","chr11_128728761_128729708",0.00126576302833173
"chr11_128469845_128470616","chr11_128730759_128731660",0
"chr11_128469845_128470616","chr11_128734167_128734984",0
"chr11_128469845_128470616","chr11_128735790_128736663",-0.0014859188031072
"chr11_128469845_128470616","chr11_128738665_128739592",0.00121879101701354
"chr11_128469845_128470616","chr11_128745532_128746374",0
"chr11_128469845_128470616","chr11_128747441_128748365",0
"chr11_128471119_128471862","chr11_128449147_128449883",0
"chr11_128471119_128471862","chr11_128464941_128465342",-0.00662116553978544
"chr11_128471119_128471862","chr11_128469845_128470616",0.0467314791228
"chr11_128471119_128471862","chr11_128471994_128472845",0.118735939992416
"chr11_128471119_128471862","chr11_128476461_128477358",0
"chr11_128471119_128471862","chr11_128482320_128483105",0.000133534478173921
"chr11_128471119_128471862","chr11_128483237_128483954",0.00232833942732295
"chr11_128471119_128471862","chr11_128488331_128489255",0.0022950188645649
"chr11_128471119_128471862","chr11_128492920_128493755",0
"chr11_128471119_128471862","chr11_128494330_128495120",0.00731633372206541
"chr11_128471119_128471862","chr11_128496778_128497610",0
"chr11_128471119_128471862","chr11_128498464_128499376",0.00171101089113281
"chr11_128471119_128471862","chr11_128503356_128504284",0
"chr11_128471119_128471862","chr11_128512226_128513133",0.00281710242827243
"chr11_128471119_128471862","chr11_128521993_128522901",0.0195597392531796
"chr11_128471119_128471862","chr11_128525248_128526153",0.0300900579773991
"chr11_128471119_128471862","chr11_128527740_128528356",0.0159370823899336
"chr11_128471119_128471862","chr11_128544373_128545299",0.0337506672938009
"chr11_128471119_128471862","chr11_128548424_128549323",0.0427378257706405
"chr11_128471119_128471862","chr11_128551465_128552251",0
"chr11_128471119_128471862","chr11_128552721_128553602",0
"chr11_128471119_128471862","chr11_128563758_128564671",0
"chr11_128471119_128471862","chr11_128565642_128566554",0.0069322544144388
"chr11_128471119_128471862","chr11_128567999_128568808",-0.100661090471913
"chr11_128471119_128471862","chr11_128575556_128576368",0
"chr11_128471119_128471862","chr11_128579599_128580473",0.0503694787643086
"chr11_128471119_128471862","chr11_128582529_128583435",0.0338740807258843
"chr11_128471119_128471862","chr11_128603822_128604728",0
"chr11_128471119_128471862","chr11_128610841_128611714",0.00133869560613361
"chr11_128471119_128471862","chr11_128613330_128614231",-0.14760488789073
"chr11_128471119_128471862","chr11_128619724_128620615",0
"chr11_128471119_128471862","chr11_128624107_128624982",0.051359048774844
"chr11_128471119_128471862","chr11_128628405_128629239",0
"chr11_128471119_128471862","chr11_128630169_128631048",0.00466468558931172
"chr11_128471119_128471862","chr11_128631984_128632812",0.0242692174550199
"chr11_128471119_128471862","chr11_128643400_128644283",-0.0247135858566944
"chr11_128471119_128471862","chr11_128653516_128654408",0.0307820719781417
"chr11_128471119_128471862","chr11_128658217_128659073",0.0260089496380557
"chr11_128471119_128471862","chr11_128660704_128661623",0.0238546558357748
"chr11_128471119_128471862","chr11_128663802_128664602",0
"chr11_128471119_128471862","chr11_128669231_128670133",-0.0286806449025691
"chr11_128471119_128471862","chr11_128677879_128678701",0
"chr11_128471119_128471862","chr11_128684635_128685313",-0.0201848893431806
"chr11_128471119_128471862","chr11_128685715_128686496",0.0213890171031947
"chr11_128471119_128471862","chr11_128686676_128687525",0.0150506266120491
"chr11_128471119_128471862","chr11_128692654_128693407",0.0587572840463605
"chr11_128471119_128471862","chr11_128693727_128694525",0.0260751543673849
"chr11_128471119_128471862","chr11_128695608_128696497",0.0256921895902057
"chr11_128471119_128471862","chr11_128699625_128700528",0.0493902678864959
"chr11_128471119_128471862","chr11_128703388_128704277",0.139687297518379
"chr11_128471119_128471862","chr11_128705365_128706204",0.0109774250375076
"chr11_128471119_128471862","chr11_128707091_128707883",0.0791418128194694
"chr11_128471119_128471862","chr11_128713337_128714200",0.087850676907482
"chr11_128471119_128471862","chr11_128716647_128717362",0.0648044477384676
"chr11_128471119_128471862","chr11_128718565_128719467",0.100943768917123
"chr11_128471119_128471862","chr11_128720324_128721193",0.04622407330087
"chr11_128471119_128471862","chr11_128725283_128726122",0.0143715457382363
"chr11_128471119_128471862","chr11_128726562_128727380",0.12064636839818
"chr11_128471119_128471862","chr11_128728761_128729708",0.027085875561644
"chr11_128471119_128471862","chr11_128730759_128731660",0
"chr11_128471119_128471862","chr11_128734167_128734984",0
"chr11_128471119_128471862","chr11_128735790_128736663",-0.0317969563771465
"chr11_128471119_128471862","chr11_128738665_128739592",0.0260807284488221
"chr11_128471119_128471862","chr11_128745532_128746374",0
"chr11_128471119_128471862","chr11_128747441_128748365",0
"chr11_128471994_128472845","chr11_128449147_128449883",0
"chr11_128471994_128472845","chr11_128464941_128465342",-0.00118996381839498
"chr11_128471994_128472845","chr11_128469845_128470616",0.00554870610088161
"chr11_128471994_128472845","chr11_128471119_128471862",0.118735939992416
"chr11_128471994_128472845","chr11_128476461_128477358",0
"chr11_128471994_128472845","chr11_128482320_128483105",1.84633249676587e-05
"chr11_128471994_128472845","chr11_128483237_128483954",0.000321930995421898
"chr11_128471994_128472845","chr11_128488331_128489255",0.00051952378783838
"chr11_128471994_128472845","chr11_128492920_128493755",0
"chr11_128471994_128472845","chr11_128494330_128495120",0.0013288626449827
"chr11_128471994_128472845","chr11_128496778_128497610",0
"chr11_128471994_128472845","chr11_128498464_128499376",0.00038732180938415
"chr11_128471994_128472845","chr11_128503356_128504284",0
"chr11_128471994_128472845","chr11_128512226_128513133",0.00043650187248416
"chr11_128471994_128472845","chr11_128521993_128522901",0.00257606826604745
"chr11_128471994_128472845","chr11_128525248_128526153",0.00575616929565282
"chr11_128471994_128472845","chr11_128527740_128528356",0.00337262820844145
"chr11_128471994_128472845","chr11_128544373_128545299",0.00516281080570454
"chr11_128471994_128472845","chr11_128548424_128549323",0.00737814033454045
"chr11_128471994_128472845","chr11_128551465_128552251",0
"chr11_128471994_128472845","chr11_128552721_128553602",0
"chr11_128471994_128472845","chr11_128563758_128564671",0
"chr11_128471994_128472845","chr11_128565642_128566554",0.00107413276921379
"chr11_128471994_128472845","chr11_128567999_128568808",-0.0155971447954178
"chr11_128471994_128472845","chr11_128575556_128576368",0
"chr11_128471994_128472845","chr11_128579599_128580473",0.00862806063083947
"chr11_128471994_128472845","chr11_128582529_128583435",0.00588792183940776
"chr11_128471994_128472845","chr11_128603822_128604728",0
"chr11_128471994_128472845","chr11_128610841_128611714",0.000183326115119866
"chr11_128471994_128472845","chr11_128613330_128614231",-0.0202135799547924
"chr11_128471994_128472845","chr11_128619724_128620615",0
"chr11_128471994_128472845","chr11_128624107_128624982",0.00863589197583491
"chr11_128471994_128472845","chr11_128628405_128629239",0
"chr11_128471994_128472845","chr11_128630169_128631048",0.000638799950807337
"chr11_128471994_128472845","chr11_128631984_128632812",0.00504609474771263
"chr11_128471994_128472845","chr11_128643400_128644283",-0.004753570874992
"chr11_128471994_128472845","chr11_128653516_128654408",0.00573245619850939
"chr11_128471994_128472845","chr11_128658217_128659073",0.00464019719056989
"chr11_128471994_128472845","chr11_128660704_128661623",0.00339464604342049
"chr11_128471994_128472845","chr11_128663802_128664602",0
"chr11_128471994_128472845","chr11_128669231_128670133",-0.00511768371158124
"chr11_128471994_128472845","chr11_128677879_128678701",0
"chr11_128471994_128472845","chr11_128684635_128685313",-0.00366771931325064
"chr11_128471994_128472845","chr11_128685715_128686496",0.00357497003605707
"chr11_128471994_128472845","chr11_128686676_128687525",0.00308601094259432
"chr11_128471994_128472845","chr11_128692654_128693407",0.0094900796021709
"chr11_128471994_128472845","chr11_128693727_128694525",0.00500107362008841
"chr11_128471994_128472845","chr11_128695608_128696497",0.00465189128419741
"chr11_128471994_128472845","chr11_128699625_128700528",0.00908363741361051
"chr11_128471994_128472845","chr11_128703388_128704277",0.0210830582454605
"chr11_128471994_128472845","chr11_128705365_128706204",0.00196187270396284
"chr11_128471994_128472845","chr11_128707091_128707883",0.0140678889577152
"chr11_128471994_128472845","chr11_128713337_128714200",0.0157793281044303
"chr11_128471994_128472845","chr11_128716647_128717362",0.0116086387418061
"chr11_128471994_128472845","chr11_128718565_128719467",0.0177658621771152
"chr11_128471994_128472845","chr11_128720324_128721193",0.0075000404234902
"chr11_128471994_128472845","chr11_128725283_128726122",0.0032532891098638
"chr11_128471994_128472845","chr11_128726562_128727380",0.0273107377315825
"chr11_128471994_128472845","chr11_128728761_128729708",0.00482941746498282
"chr11_128471994_128472845","chr11_128730759_128731660",0
"chr11_128471994_128472845","chr11_128734167_128734984",0
"chr11_128471994_128472845","chr11_128735790_128736663",-0.00608394545003279
"chr11_128471994_128472845","chr11_128738665_128739592",0.0048566000941631
"chr11_128471994_128472845","chr11_128745532_128746374",0
"chr11_128471994_128472845","chr11_128747441_128748365",0
"chr11_128476461_128477358","chr11_128449147_128449883",0
"chr11_128476461_128477358","chr11_128464941_128465342",0
"chr11_128476461_128477358","chr11_128469845_128470616",0
"chr11_128476461_128477358","chr11_128471119_128471862",0
"chr11_128476461_128477358","chr11_128471994_128472845",0
"chr11_128476461_128477358","chr11_128482320_128483105",0
"chr11_128476461_128477358","chr11_128483237_128483954",0
"chr11_128476461_128477358","chr11_128488331_128489255",0
"chr11_128476461_128477358","chr11_128492920_128493755",0
"chr11_128476461_128477358","chr11_128494330_128495120",0
"chr11_128476461_128477358","chr11_128496778_128497610",0
"chr11_128476461_128477358","chr11_128498464_128499376",0
"chr11_128476461_128477358","chr11_128503356_128504284",0
"chr11_128476461_128477358","chr11_128512226_128513133",0
"chr11_128476461_128477358","chr11_128521993_128522901",0
"chr11_128476461_128477358","chr11_128525248_128526153",0
"chr11_128476461_128477358","chr11_128527740_128528356",0
"chr11_128476461_128477358","chr11_128544373_128545299",0
"chr11_128476461_128477358","chr11_128548424_128549323",0
"chr11_128476461_128477358","chr11_128551465_128552251",0
"chr11_128476461_128477358","chr11_128552721_128553602",0
"chr11_128476461_128477358","chr11_128563758_128564671",0
"chr11_128476461_128477358","chr11_128565642_128566554",0
"chr11_128476461_128477358","chr11_128567999_128568808",0
"chr11_128476461_128477358","chr11_128575556_128576368",0
"chr11_128476461_128477358","chr11_128579599_128580473",0
"chr11_128476461_128477358","chr11_128582529_128583435",0
"chr11_128476461_128477358","chr11_128603822_128604728",0
"chr11_128476461_128477358","chr11_128610841_128611714",0
"chr11_128476461_128477358","chr11_128613330_128614231",0
"chr11_128476461_128477358","chr11_128619724_128620615",0
"chr11_128476461_128477358","chr11_128624107_128624982",0
"chr11_128476461_128477358","chr11_128628405_128629239",0
"chr11_128476461_128477358","chr11_128630169_128631048",0
"chr11_128476461_128477358","chr11_128631984_128632812",0
"chr11_128476461_128477358","chr11_128643400_128644283",0
"chr11_128476461_128477358","chr11_128653516_128654408",0
"chr11_128476461_128477358","chr11_128658217_128659073",0
"chr11_128476461_128477358","chr11_128660704_128661623",0
"chr11_128476461_128477358","chr11_128663802_128664602",0
"chr11_128476461_128477358","chr11_128669231_128670133",0
"chr11_128476461_128477358","chr11_128677879_128678701",0
"chr11_128476461_128477358","chr11_128684635_128685313",0
"chr11_128476461_128477358","chr11_128685715_128686496",0
"chr11_128476461_128477358","chr11_128686676_128687525",0
"chr11_128476461_128477358","chr11_128692654_128693407",0
"chr11_128476461_128477358","chr11_128693727_128694525",0
"chr11_128476461_128477358","chr11_128695608_128696497",0
"chr11_128476461_128477358","chr11_128699625_128700528",0
"chr11_128476461_128477358","chr11_128703388_128704277",0
"chr11_128476461_128477358","chr11_128705365_128706204",0
"chr11_128476461_128477358","chr11_128707091_128707883",0
"chr11_128476461_128477358","chr11_128713337_128714200",0
"chr11_128476461_128477358","chr11_128716647_128717362",0
"chr11_128476461_128477358","chr11_128718565_128719467",0
"chr11_128476461_128477358","chr11_128720324_128721193",0
"chr11_128476461_128477358","chr11_128725283_128726122",0
"chr11_128476461_128477358","chr11_128726562_128727380",0
"chr11_128476461_128477358","chr11_128728761_128729708",0
"chr11_128476461_128477358","chr11_128730759_128731660",0
"chr11_128476461_128477358","chr11_128734167_128734984",0
"chr11_128476461_128477358","chr11_128735790_128736663",0
"chr11_128476461_128477358","chr11_128738665_128739592",0
"chr11_128476461_128477358","chr11_128745532_128746374",0
"chr11_128476461_128477358","chr11_128747441_128748365",0
"chr11_128482320_128483105","chr11_128449147_128449883",0
"chr11_128482320_128483105","chr11_128464941_128465342",0.00010800620110526
"chr11_128482320_128483105","chr11_128469845_128470616",6.24026367895614e-06
"chr11_128482320_128483105","chr11_128471119_128471862",0.000133534478173921
"chr11_128482320_128483105","chr11_128471994_128472845",1.84633249676587e-05
"chr11_128482320_128483105","chr11_128476461_128477358",0
"chr11_128482320_128483105","chr11_128483237_128483954",0.0573518090218723
"chr11_128482320_128483105","chr11_128488331_128489255",8.14257007440137e-06
"chr11_128482320_128483105","chr11_128492920_128493755",0
"chr11_128482320_128483105","chr11_128494330_128495120",0.0001535208696302
"chr11_128482320_128483105","chr11_128496778_128497610",0
"chr11_128482320_128483105","chr11_128498464_128499376",6.07054969971027e-06
"chr11_128482320_128483105","chr11_128503356_128504284",0
"chr11_128482320_128483105","chr11_128512226_128513133",0.000110533655767642
"chr11_128482320_128483105","chr11_128521993_128522901",0.000946159103452409
"chr11_128482320_128483105","chr11_128525248_128526153",7.52699765998479e-05
"chr11_128482320_128483105","chr11_128527740_128528356",0.000104694891508265
"chr11_128482320_128483105","chr11_128544373_128545299",0.000328557190808911
"chr11_128482320_128483105","chr11_128548424_128549323",0.000215186870085
"chr11_128482320_128483105","chr11_128551465_128552251",0
"chr11_128482320_128483105","chr11_128552721_128553602",0
"chr11_128482320_128483105","chr11_128563758_128564671",0
"chr11_128482320_128483105","chr11_128565642_128566554",0.000271998424852866
"chr11_128482320_128483105","chr11_128567999_128568808",-0.0039496037530453
"chr11_128482320_128483105","chr11_128575556_128576368",0
"chr11_128482320_128483105","chr11_128579599_128580473",0.000396743439061733
"chr11_128482320_128483105","chr11_128582529_128583435",0.000265397633038622
"chr11_128482320_128483105","chr11_128603822_128604728",0
"chr11_128482320_128483105","chr11_128610841_128611714",2.36005552105701e-06
"chr11_128482320_128483105","chr11_128613330_128614231",-0.000260220268897911
"chr11_128482320_128483105","chr11_128619724_128620615",0
"chr11_128482320_128483105","chr11_128624107_128624982",-6.9805673418749e-05
"chr11_128482320_128483105","chr11_128628405_128629239",0
"chr11_128482320_128483105","chr11_128630169_128631048",8.22361478485441e-06
"chr11_128482320_128483105","chr11_128631984_128632812",4.05548661130074e-05
"chr11_128482320_128483105","chr11_128643400_128644283",-0.000141847584529137
"chr11_128482320_128483105","chr11_128653516_128654408",2.76701358440007e-05
"chr11_128482320_128483105","chr11_128658217_128659073",7.36751078793066e-05
"chr11_128482320_128483105","chr11_128660704_128661623",4.94466992137962e-05
"chr11_128482320_128483105","chr11_128663802_128664602",0
"chr11_128482320_128483105","chr11_128669231_128670133",-0.000114873299291504
"chr11_128482320_128483105","chr11_128677879_128678701",0
"chr11_128482320_128483105","chr11_128684635_128685313",0.00806122751282379
"chr11_128482320_128483105","chr11_128685715_128686496",1.48265855931234e-05
"chr11_128482320_128483105","chr11_128686676_128687525",1.38195365322831e-05
"chr11_128482320_128483105","chr11_128692654_128693407",0.000252601952267541
"chr11_128482320_128483105","chr11_128693727_128694525",-1.37311620285031e-05
"chr11_128482320_128483105","chr11_128695608_128696497",6.71790212804766e-05
"chr11_128482320_128483105","chr11_128699625_128700528",2.83436780972452e-05
"chr11_128482320_128483105","chr11_128703388_128704277",0.000358587473109403
"chr11_128482320_128483105","chr11_128705365_128706204",-4.00050596400621e-05
"chr11_128482320_128483105","chr11_128707091_128707883",-9.63385694802393e-05
"chr11_128482320_128483105","chr11_128713337_128714200",-0.000518562157598225
"chr11_128482320_128483105","chr11_128716647_128717362",-0.000119322052090439
"chr11_128482320_128483105","chr11_128718565_128719467",-0.000379641193197769
"chr11_128482320_128483105","chr11_128720324_128721193",0.00028874264862918
"chr11_128482320_128483105","chr11_128725283_128726122",5.09892620308621e-05
"chr11_128482320_128483105","chr11_128726562_128727380",0.000428045069289938
"chr11_128482320_128483105","chr11_128728761_128729708",0.000279902174400353
"chr11_128482320_128483105","chr11_128730759_128731660",0
"chr11_128482320_128483105","chr11_128734167_128734984",0
"chr11_128482320_128483105","chr11_128735790_128736663",-0.000159789576324753
